 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.9945793	0.00528072	7.775409e-05	1.6115964e-05	2.7979037e-05	1.9095125e-06	1.6198492e-05
ò	0.9901732	0.009744594	7.129359e-05	6.1004507e-06	6.5977616e-07	3.70709e-06	3.37893e-07
p	0.9540218	0.042976215	0.0028258145	0.00013303499	1.7366787e-05	3.4613604e-06	2.2315031e-05
u	0.65602416	0.31701663	0.026759619	0.00016617136	3.4831126e-06	2.9158211e-05	8.1561876e-07
o	0.32199755	0.5338418	0.13967325	0.0031631775	0.00036780353	0.00011009383	0.00084631
G	0.09681805	0.75973743	0.13635239	0.004526264	0.0006853268	5.940678e-05	0.0018211227
i	0.010543198	0.97586846	0.012118522	0.000815561	0.00014307816	0.0002371135	0.00027412997
o	0.008345446	0.87418073	0.11093238	0.0051728287	0.0010905048	6.279175e-05	0.00021529252
v	0.0069592455	0.23244675	0.7020581	0.05048037	0.0055830544	0.0008861976	0.0015862145
à	0.034558766	0.74032533	0.19648367	0.018387156	0.0030692024	0.0044223666	0.0027534766
n	0.0005321094	0.2663491	0.72444737	0.0075081224	0.0009368779	0.00015818796	6.820926e-05
n	0.0012796132	0.28612694	0.6670185	0.0430556	0.00031558	0.002166658	3.711561e-05
i	0.006381907	0.82813865	0.16447426	0.00097278965	1.2630259e-05	1.9022988e-05	6.953377e-07
j	0.00011948711	0.0058595138	0.63148403	0.30047265	0.047963966	0.0023272221	0.0117731495
ù	0.0012315768	0.3176382	0.44948986	0.20390858	0.012408705	0.0136819985	0.0016410974
r	0.00014730982	0.004890552	0.5230959	0.40833852	0.05516651	0.0039942404	0.004367038
i	0.00065167056	0.03045835	0.43833867	0.4832491	0.015265934	0.03169742	0.00033882912
s	0.0003477041	0.0010605645	0.08074979	0.39659578	0.44370258	0.03226569	0.04527795
e	0.0031331074	0.0052381004	0.08714393	0.74133605	0.043639332	0.10887762	0.010631835
è	0.0010545141	0.00094403693	0.016577365	0.16500548	0.6259667	0.0993219	0.091130085
s	0.0063640373	0.0030663311	0.008688484	0.078413144	0.43162745	0.39335492	0.0784857
s	0.004517099	0.0070008887	0.07171226	0.33934608	0.05470191	0.5186902	0.0040315697
u	0.16734174	0.063052975	0.06636564	0.05106373	0.024676263	0.5207646	0.10673504
</S>	0.005175442	0.0025666922	0.003476825	0.008040642	0.08199664	0.14417866	0.7545652
