 	io	non	ho	niente	da	mangiare	</S>
e	0.9596545	0.034577113	0.0022243955	0.0031111299	0.00027360415	5.83398e-05	0.00010086387
v	0.96406686	0.030697761	0.0029437996	0.0019767128	0.000121097735	7.9843565e-05	0.000113759284
ò	0.78578687	0.111136876	0.08440628	0.008689875	0.00012407043	0.00978931	6.665916e-05
e	0.12896363	0.6435591	0.13093814	0.095304936	0.0007965069	0.0003901978	4.7481222e-05
n	0.038503777	0.33758894	0.35787854	0.2613701	0.0028904364	0.0014416014	0.0003266344
è	0.021747349	0.0014770282	0.0010193896	0.007889302	0.0002837122	0.9662061	0.0013770884
c	0.005276161	0.030420206	0.22393061	0.71258724	0.026531812	0.000812896	0.00044109733
h	0.01253847	0.004401065	0.0055051357	0.06747952	0.0007588503	0.9078677	0.0014492632
o	0.018783057	0.0056610033	0.026721885	0.93714833	0.0011254883	0.010553834	6.362248e-06
t	0.0034795934	0.010068605	0.041192457	0.6732332	0.2317502	0.011029041	0.029246934
ì	0.0011123391	0.005043272	0.010686912	0.7806496	0.0044471547	0.19507766	0.0029830642
p	0.00043359917	0.004117786	0.018094549	0.60498047	0.33834437	0.020355858	0.013673306
o	0.0014803488	0.006249404	0.003935609	0.36482954	0.015383424	0.58592105	0.022200594
t	0.0033510043	0.0025737628	0.008124499	0.11171254	0.69237316	0.104682274	0.07718288
i	0.0064973775	0.018036004	0.034656893	0.19088048	0.18057828	0.4429365	0.12641442
n	0.0013921121	0.0015894054	0.0059583294	0.016658036	0.48281533	0.41124249	0.08034433
a	0.015395089	0.013628058	0.022143181	0.008922698	0.027116166	0.65269303	0.26010177
f	0.010486924	0.0030917802	0.0078500975	0.008764255	0.29447243	0.57442206	0.10091242
à	0.004703455	0.0034188177	0.010474959	0.0011948937	0.029556416	0.7014778	0.24917355
o	0.0024486156	0.00091865653	0.0020570955	0.0008482081	0.03686965	0.85428214	0.102575704
</S>	0.22136968	0.00059108814	0.0010195697	0.00014205047	0.0046121324	0.56686753	0.20539793
