 	questa	canzone	ee	l'	ha	scritta	un	poeta	</S>
t	0.9790206	0.020625276	0.00030365324	3.0173775e-05	4.4623152e-06	7.0144383e-06	1.2797324e-06	1.1402394e-06	6.3645566e-06
ù	0.9780936	0.021055346	0.0008071327	8.174923e-06	1.3036433e-05	2.135271e-06	2.7955782e-06	1.664281e-05	1.1924285e-06
t	0.81258726	0.17975013	0.0069909114	0.00058250676	5.401405e-05	1.609227e-05	4.545809e-06	1.7879944e-06	1.2830428e-05
t	0.71499115	0.2721342	0.011854556	0.00018238515	0.0006414315	4.53706e-05	8.029356e-06	0.00014267176	2.1245535e-07
o	0.6441413	0.34306663	0.012747067	1.5335574e-05	1.9381692e-05	1.1333021e-06	1.2379647e-06	7.938574e-06	2.8081478e-08
t	0.0042493255	0.90417564	0.08300413	0.0074665486	0.00045548368	0.00022953273	4.0798677e-05	1.2182563e-05	0.00036621766
r	0.1594172	0.76794845	0.07022744	0.00045923446	0.001077662	7.439393e-05	2.642906e-05	0.00072857086	4.057775e-05
a	0.026796417	0.8224025	0.14659908	0.0028345026	0.0012201844	5.9454786e-05	4.0635416e-05	4.663181e-05	6.7969137e-07
v	7.792699e-05	0.22377302	0.6036428	0.16200556	0.0054423083	0.0033281601	0.00026754112	2.5755986e-05	0.0014368832
ù	0.04591341	0.29588735	0.64223343	0.009743893	0.0046012737	0.00055984437	0.000119122116	0.0007084551	0.00023319964
d	0.00010819923	0.08097101	0.8335076	0.072236955	0.008972167	0.0033790008	0.0007044578	5.2215106e-05	6.836267e-05
i	0.020570124	0.2152064	0.5459691	0.08334174	0.10037691	0.0121657085	0.0052939225	0.016519245	0.00055676897
e	9.036771e-05	0.0055015082	0.42421308	0.5056278	0.03321085	0.026962811	0.002905033	0.00016481725	0.0013237408
e	0.0006021739	0.0043715076	0.48716053	0.20944956	0.14870538	0.089489676	0.057418123	0.0023466852	0.00045646302
t	0.0012993696	0.003942556	0.41553748	0.20405094	0.2095995	0.10782329	0.0542028	0.003151231	0.00039277962
o	0.0019074067	0.010848834	0.26490664	0.23121504	0.23286854	0.17394671	0.019168584	0.03587346	0.02926479
n	0.00029142527	0.0016293329	0.091869764	0.38218644	0.36133167	0.1264036	0.033356618	0.0020353585	0.00089583104
è	0.0057487814	0.014852116	0.113403864	0.21455283	0.3026553	0.23759936	0.04519522	0.036655605	0.029336916
g	0.00019912637	0.0008474218	0.025886247	0.17517677	0.5576873	0.11744189	0.10889118	0.012426021	0.0014441081
r	0.01393819	0.041199647	0.031716745	0.058738325	0.18731208	0.17345531	0.22564188	0.2444455	0.023552341
a	0.0008116784	0.0067591798	0.0586316	0.15198912	0.06696083	0.6209319	0.074121565	0.018931381	0.000862674
t	0.000112293244	0.000357374	0.002086729	0.016269071	0.07318105	0.6651462	0.20152667	0.015905954	0.025414715
s	0.0003752137	0.0004971791	0.010412634	0.02686874	0.050403547	0.69621134	0.09372457	0.11999908	0.0015077144
e	0.0054199784	0.0047864574	0.012035806	0.034896493	0.04774665	0.6121826	0.14357413	0.1385798	0.0007780104
è	0.00054491864	0.0007142303	0.0046858015	0.0045902487	0.030039046	0.2434048	0.5083611	0.10178438	0.10587548
n	0.0015597733	0.0014213483	0.006259983	0.0009005366	0.016539408	0.060403097	0.24778315	0.6409095	0.024223248
a	0.0056279004	0.0040183426	0.010448788	0.014237637	0.013357419	0.04306974	0.0982616	0.78134733	0.029631367
p	0.0018001408	0.0033585357	0.018452104	0.0044376305	0.00912875	0.02100093	0.19843055	0.42117402	0.32221732
o	0.025374899	0.008186705	0.01056049	0.021568771	0.0095958505	0.0066345143	0.0061627203	0.8437981	0.06811788
è	0.0019793594	0.0026176204	0.014400792	0.0021780545	0.0072911945	0.007430343	0.13746467	0.7657192	0.060918845
t	0.0010253603	0.0005973263	0.0025057048	0.00014098105	0.00040810835	0.00032179765	0.018773025	0.9196571	0.05657061
a	0.0021077655	0.0012191111	0.0015331871	0.0029292407	0.003956018	0.012564672	0.0046350462	0.96997774	0.0010770409
</S>	0.0042472305	0.0036840085	0.020738019	0.0037445968	0.002811996	0.001157938	0.0054730433	0.21372011	0.744423
