 	non	ha	da	mangiare	</S>
e	0.76143914	0.21869412	0.018069256	0.00055709714	0.0012404951
n	0.4840066	0.4903979	0.022787472	0.0008727796	0.0019352883
è	0.0025214017	0.043362748	0.0033482066	0.9502278	0.00053989305
c	0.01595768	0.87289524	0.102309786	0.008772975	6.429215e-05
h	0.0015587491	0.02323716	0.00023282875	0.97493863	3.2703007e-05
i	0.016609102	0.48019236	0.19127902	0.3117315	0.00018795699
n	0.00530394	0.059546668	0.67063755	0.21506734	0.049444478
a	0.029416425	0.004666168	9.3624694e-05	0.9650966	0.00072722556
f	0.0009327066	0.0015122814	0.027263202	0.7348056	0.23548625
à	0.017614173	0.006775859	0.001579585	0.9085604	0.06547002
i	4.7321155e-05	0.00019544501	0.0039611883	0.903337	0.09245897
</S>	0.0022114895	0.00019712182	0.0008017776	0.3201319	0.6766577
