 	non	avete	mangiato	mai	un	rustico	</S>
e	0.6839086	0.31167394	0.0031278278	0.0010945605	1.4456398e-05	5.434777e-05	0.00012630499
n	0.453068	0.50644374	0.016216487	0.0063810465	0.010956452	0.0039252397	0.0030089887
è	0.019098356	0.7812555	0.15805343	7.971689e-05	0.0003969412	0.041075245	4.0769297e-05
c	0.013394884	0.9645591	0.021345515	8.090611e-05	0.00012540331	0.0004935796	5.702904e-07
h	0.010898236	0.72447616	0.2200907	5.6351346e-06	0.00017082381	0.044356227	2.2781167e-06
e	0.015325849	0.80733174	0.1668468	0.0006366946	0.0011661326	0.008684108	8.607136e-06
t	0.006602537	0.27993217	0.60933065	0.0730847	0.0119618485	0.0050924155	0.013995708
e	0.046368472	0.12563023	0.5191411	4.7641282e-05	0.003951014	0.30482078	4.0795436e-05
f	0.0005902639	0.009183524	0.7249796	0.23580673	0.015451851	0.0036256013	0.010362405
a	0.017452974	0.026933813	0.66879165	0.0006724056	0.020419793	0.25920665	0.006522756
m	0.00022964172	0.001859776	0.38076127	0.4828062	0.12378501	0.0073585636	0.003199543
è	0.012136772	0.015244973	0.3875874	0.007905006	0.09756803	0.4552398	0.02431792
n	6.0523438e-05	0.0005036122	0.093303695	0.819934	0.069766656	0.007792054	0.008639441
a	0.12725766	0.017200727	0.055608064	0.0053363275	0.24416618	0.54732996	0.0031010807
m	0.00010630339	0.00015945584	0.0022736634	0.8161236	0.15954444	0.012572862	0.009219624
à	0.027604686	0.012541107	0.0104440525	0.022134595	0.12636021	0.7087973	0.09211816
i	2.6337399e-05	8.863503e-05	0.0027438325	0.83706796	0.10776288	0.035488814	0.01682161
è	0.00033684855	0.00014527258	0.000629881	0.22682893	0.67140996	0.056655686	0.04399343
n	6.2191495e-05	0.00010236713	0.0010076168	0.47021815	0.17079292	0.31133804	0.046478804
a	0.030924082	0.0050000874	0.003648573	0.0023564766	0.012274416	0.91978145	0.026014948
n	0.0005686473	0.0010007414	0.00518515	0.46017933	0.061104394	0.15227859	0.3196832
r	0.004698483	0.0017013872	0.0024753078	0.0010276366	0.019183649	0.91115224	0.059761316
ù	0.0015133983	0.0016942096	0.0179137	0.03672541	0.042295344	0.7050307	0.19482726
s	0.00063715386	0.0009369736	0.0050297836	0.10681509	0.025665538	0.54131305	0.3196024
t	0.00045584206	0.0001933766	0.00060919864	0.00013141529	0.006458757	0.99129385	0.0008575734
i	0.005710258	0.00076117605	0.0034005737	0.0010275318	0.0021203652	0.9794246	0.007555526
k	0.00058899465	0.0014902935	0.008321438	0.016664846	0.0030298568	0.073202394	0.89670223
o	0.0011983038	0.001805149	0.002811459	6.0503186e-05	0.00071127433	0.9842428	0.0091704605
</S>	0.0021621408	0.0028197493	0.020379119	0.020474974	0.020644212	0.0947661	0.8387537
