 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.77028733	0.22211689	0.0037491182	0.0031940693	2.9280445e-05	2.2131633e-05	1.2608097e-05	2.9351138e-06	0.00057423156	2.2907027e-06	2.0882978e-06	1.634642e-06	1.4786715e-06	1.7417376e-06	1.0794231e-06	9.2913746e-07
k	0.15855947	0.7951249	0.02454612	0.015979428	0.00026610534	0.00029438268	0.0002890384	0.00048257515	0.0037323125	0.00030686954	5.8570145e-05	6.6738954e-05	0.00011286924	5.748108e-05	6.081625e-05	6.2315135e-05
è	0.009689707	0.34408	0.0048655584	0.5520651	1.5039986e-05	0.0042807544	0.0012322606	0.00011222284	0.083556004	6.96308e-05	5.73015e-06	1.1850918e-05	8.0715035e-06	1.10183e-06	3.4158484e-06	3.5961652e-06
c	0.01890102	0.80256826	0.1555432	0.021809118	0.0005387507	8.967386e-05	7.547704e-05	5.4162607e-05	0.00039014802	2.2140257e-05	2.3511732e-06	2.229596e-06	2.9446082e-06	2.826499e-07	2.0311867e-07	1.3996763e-07
c	0.078000516	0.59148556	0.028276881	0.27435255	2.9196e-05	0.0031615947	0.0042090863	0.0005242263	0.01948195	0.0003035679	3.281981e-05	7.419817e-05	3.971076e-05	1.3488162e-06	2.6746211e-05	9.689432e-08
i	0.008957072	0.031452987	0.033542	0.90622795	4.890831e-05	0.001596629	0.00214259	0.0001296889	0.015786607	0.00010915506	5.0999915e-07	1.7268458e-06	2.3334694e-06	1.3269836e-07	1.6465708e-06	7.156764e-08
a	0.0016821773	0.33959737	0.57237107	0.082863234	0.0018325857	0.00029853583	0.00023811999	0.00024434522	0.00071961305	0.00011310283	1.1811386e-05	8.8473735e-06	1.3985561e-05	2.0194761e-06	1.0361324e-06	2.1202795e-06
a	0.0015673972	0.12150506	0.7138489	0.15190095	0.0036782338	0.0011833117	0.0013527827	0.0032424706	0.000515905	0.0009722704	4.6755067e-05	3.9265935e-05	0.00011042544	2.0017702e-05	7.4758464e-06	8.869816e-06
r	0.00086752407	0.0068442165	0.4667161	0.49502543	0.008018314	0.0046513155	0.002985203	0.012604243	0.0012895727	0.00075507275	8.480415e-05	3.7293816e-05	9.423065e-05	1.5626629e-05	1.9294607e-06	9.0919075e-06
è	0.0018527993	0.003847068	0.021984804	0.9454726	0.0062376494	0.010454006	0.0022181005	0.0008165525	0.006718793	0.00015690895	0.00010739651	3.6042657e-05	1.878084e-05	1.6361642e-05	1.505228e-05	4.7161204e-05
