 	sapeva	che	fa	freddo	e	non	aveva	di	nuotare	</S>
ì	0.99210393	0.007784247	8.807997e-05	1.2351671e-05	6.0369543e-06	8.957468e-07	8.982343e-07	1.7343336e-06	2.0715538e-07	1.6375678e-06
t	0.96045893	0.037973467	0.00061209576	0.0008068849	7.7778845e-05	1.877028e-05	3.2613334e-05	8.537216e-06	4.085636e-06	6.874568e-06
s	0.38013318	0.38144723	0.0225228	0.19442382	0.009774496	0.0013078921	0.0098161725	2.685178e-05	0.00053339964	1.4214869e-05
e	0.940858	0.0497984	0.0009045161	0.008395834	2.206378e-05	3.3153779e-06	1.1819669e-05	5.2921683e-07	5.4126776e-06	9.778061e-08
r	0.015107877	0.9257212	0.04298835	0.011065767	0.0036467926	0.0003660085	0.0003042951	0.0001306906	1.9817891e-05	0.0006491505
e	0.2117564	0.74886674	0.008404312	0.030281747	0.0003820551	3.252635e-05	0.00021747843	6.127692e-06	3.1458378e-05	2.124125e-05
k	0.0013710973	0.46929082	0.36624137	0.099749655	0.055604823	0.0033579106	0.0016854445	0.0005763557	2.6644788e-05	0.00209582
a	0.03386756	0.4515033	0.08059258	0.42228645	0.008551736	0.00071973156	0.0010664256	0.00013690439	0.00018876129	0.0010865529
k	0.0022257545	0.07704574	0.45824924	0.31413513	0.13336352	0.009098984	0.0038099403	0.001142338	2.7677728e-05	0.0009016073
à	0.0067477403	0.12915765	0.0676832	0.76044863	0.028838597	0.0024217013	0.0020931142	0.00044557048	0.00025196085	0.0019118577
n	0.0008776092	0.01222517	0.2015833	0.5143093	0.23616879	0.021820458	0.008037585	0.0041890116	6.448245e-05	0.00072427414
n	0.006796843	0.028018562	0.03508888	0.5228914	0.25626493	0.028482748	0.11862652	0.000469934	0.0032342428	0.00012587995
i	0.14645769	0.04263804	0.003391322	0.78164387	0.0141673675	0.0008012158	0.010683743	3.8309736e-05	0.00017477701	3.7337143e-06
t	0.00013547823	0.0009089504	0.030612739	0.18723796	0.68526274	0.064603105	0.017558515	0.011321461	0.00012296051	0.0022361598
s	0.0018608898	0.08082955	0.03467474	0.57267374	0.2748704	0.010139052	0.021298707	0.0017152036	0.00089836994	0.0010393261
ì	0.028266905	0.025693363	0.019900233	0.22293422	0.542193	0.03157027	0.12200669	0.0040063113	0.0033676638	6.133834e-05
c	0.000538076	0.0008071525	0.010315946	0.106077656	0.7360883	0.09906931	0.027945982	0.01565295	0.00014771444	0.0033569958
h	0.003206288	0.021839388	0.008366132	0.09847744	0.5370339	0.08963715	0.23239678	0.0021546015	0.0066362624	0.0002520665
r	0.14292619	0.027088685	0.010781441	0.26006812	0.2663444	0.01688608	0.27123183	0.0019020974	0.002731423	3.9762668e-05
a	0.021243636	0.0068809963	0.02274708	0.0782021	0.6222488	0.06440868	0.17221235	0.009238505	0.002681056	0.00013681335
c	0.00055068586	0.0015168367	0.0054854336	0.007095437	0.31295565	0.27063206	0.17911571	0.20800604	0.0036338249	0.011008257
e	0.0045756716	0.06724092	0.13699721	0.07756329	0.5956185	0.03012792	0.07171213	0.008744477	0.00457995	0.0028399327
e	0.0013665361	0.0007405098	0.0026990667	0.0032529864	0.056991883	0.19150008	0.62391347	0.09759418	0.020710617	0.0012307055
n	0.009482169	0.0024995734	0.00088790694	0.010762093	0.017284583	0.1952258	0.37128496	0.09591882	0.29441863	0.002235487
ì	0.011629042	0.07951435	0.3483361	0.06693415	0.19562905	0.019503595	0.12237821	0.100779906	0.02710407	0.028191447
c	0.0030803005	0.0009953018	0.0017385997	0.002688821	0.0073007285	0.044667087	0.6692313	0.099265106	0.16541354	0.005619234
h	0.0033510148	0.0037330387	0.015829029	0.008519152	0.034803554	0.02060874	0.34902912	0.13739063	0.40501973	0.021716032
e	0.07061428	0.018658742	0.03500208	0.09022394	0.057532214	0.011005835	0.51808876	0.13755946	0.06094645	0.00036827408
n	0.004256563	0.0075350036	0.005180179	0.004416928	0.0027170933	0.019243807	0.029928882	0.65936303	0.13487248	0.13248603
a	0.006856271	0.012641335	0.13958323	0.010049188	0.035806358	0.011641013	0.07133196	0.084676325	0.6135925	0.013821824
n	0.0115904035	0.014955883	0.008527047	0.01599102	0.0020255146	0.013390183	0.035246454	0.19147383	0.63152266	0.075277
a	0.01027371	0.014275176	0.11807278	0.0070952713	0.018805098	0.007280838	0.014451194	0.058890432	0.6843254	0.066530086
t	0.016634392	0.017910255	0.0082300315	0.03401404	0.001319331	0.00725821	0.013173118	0.021872554	0.8310242	0.048563834
è	0.008797174	0.023250358	0.022437371	0.00356387	0.0040339786	0.0059710946	0.0055128406	0.1410187	0.64783025	0.13758434
t	0.0032236776	0.0059224973	0.00319464	0.004889822	0.00033236266	0.0010895383	0.0006050203	0.008023251	0.8589898	0.1137294
s	0.0007985247	0.0008846305	0.001009748	0.00016001113	0.00071681826	0.0026948012	0.004503935	0.010443913	0.9763792	0.002408471
i	0.039730664	0.064934224	0.023301855	0.07723912	0.009236158	0.030335795	0.007343969	0.01694648	0.69298416	0.037947554
</S>	0.0071398043	0.007825644	0.009930737	0.007981642	0.000790515	0.0010419553	0.00012722968	0.001842135	0.19995053	0.7633698
