 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
f	0.9993285	0.0006174603	4.108818e-05	1.299381e-06	1.2252916e-06	8.424932e-06	3.1497993e-07	1.6838732e-06
è	0.9855386	0.013929305	0.00016570635	0.00022261958	3.1446725e-05	0.000100637386	9.88916e-06	1.6746005e-06
o	0.9640132	0.03326372	0.0024479958	6.6879504e-05	0.00016595655	3.2743388e-05	8.147167e-07	8.678873e-06
p	0.55118436	0.42514226	0.0049712746	0.0042366916	0.013841877	0.00054763607	4.9026337e-05	2.6918893e-05
p	0.42323968	0.40791357	0.026395766	0.06013415	0.0015640644	0.06370648	0.016969755	7.658042e-05
ò	0.06482085	0.8941777	0.008533255	0.02796914	0.0018848424	0.0026050133	9.129861e-06	2.7169229e-08
r	0.00746771	0.7099813	0.24836978	0.009936035	0.020145575	0.0034277404	0.00017674625	0.0004950296
k	0.035051543	0.20648278	0.53248066	0.0702102	0.026998911	0.12359034	0.0051609003	2.4683613e-05
e	0.038240228	0.66914296	0.024554892	0.24368477	0.014674993	0.0095399795	0.00016110795	1.0394306e-06
t	0.0012879277	0.063840434	0.8115492	0.041791026	0.06216921	0.012332881	0.0004608911	0.0065684565
e	0.007745011	0.041331608	0.55259854	0.17075934	0.051096577	0.17239045	0.0037749803	0.00030350036
e	0.003938905	0.02874392	0.62980723	0.10180166	0.18894878	0.030621544	0.001365575	0.014772353
t	0.014666769	0.007397935	0.033075046	0.43142387	0.48101792	0.011418796	0.016661122	0.0043384745
r	0.0020079925	0.0067637423	0.1815937	0.15297711	0.35139564	0.2677109	0.027852679	0.009698258
ò	0.012632614	0.06093745	0.04134602	0.024663646	0.19662683	0.6390034	0.024484828	0.000305195
o	0.014262917	0.015727913	0.0535014	0.14020875	0.47897488	0.17126767	0.06628917	0.059767347
p	0.020839753	0.007350507	0.0067833224	0.2727234	0.5034159	0.02611881	0.1438227	0.018945545
ò	0.0022820358	0.0016486928	0.031639982	0.0063116555	0.058660146	0.7402189	0.1486916	0.0105470065
s	0.017709643	0.009625426	0.0049291058	0.008590071	0.054575503	0.03630286	0.8210963	0.0471712
s	0.0004574099	0.00011178337	0.011439889	0.005155583	0.067111745	0.20003161	0.71397823	0.0017138066
a	0.08416731	0.03549977	0.02758693	0.07164807	0.46515834	0.031314682	0.25169915	0.032925785
t	0.01454177	0.016498758	0.00625419	0.0027948576	0.00088749226	0.040391307	0.5862742	0.33235747
è	0.008825744	0.000596233	0.03275914	0.0048262696	0.009518046	0.038861513	0.8777957	0.026817393
l	0.007333435	0.01303828	0.0026203287	0.0020912858	0.00022231146	0.018291892	0.8275852	0.12881733
o	0.0005201099	3.2300642e-05	0.0008066279	0.00068170216	0.00025902677	0.0024891756	0.9919872	0.003223868
</S>	0.024309311	0.031186623	0.011009246	0.0026955116	0.00016284705	0.00869508	0.23795801	0.6839833
