 	da	da	un	famoso	poeta	</S>
p	0.98615867	0.012706863	0.00030214232	0.00079567166	9.600287e-06	2.7017446e-05
u	0.54559416	0.30095077	0.14272642	0.009010197	0.0017158331	2.6926991e-06
s	0.29895234	0.5500246	0.119901784	0.030851688	0.00017407033	9.5447635e-05
s	0.75337833	0.17757404	0.034924775	0.032387212	0.0016826887	5.2972315e-05
è	0.00782668	0.13547067	0.536346	0.31363294	0.006721655	2.0994246e-06
n	0.0063316766	0.30202952	0.49887827	0.1899411	0.00087809644	0.0019411929
a	0.26753706	0.059730664	0.63641536	0.02879195	0.007505924	1.9101764e-05
f	0.0010733441	0.010946863	0.78731096	0.14476162	0.016095273	0.03981201
a	0.035810295	0.007152629	0.13542634	0.8082286	0.012215659	0.0011665232
m	0.00041040636	0.002819114	0.45119423	0.47600394	0.042235345	0.027336933
ò	0.041962694	0.009717603	0.04889026	0.83635634	0.047680307	0.015392793
s	0.00030499694	0.0010864247	0.08334393	0.757108	0.041447457	0.116709225
o	0.059399355	0.011763155	0.09140409	0.25507444	0.5791756	0.0031833958
p	0.0003610143	0.0002271601	0.0074017458	0.2612276	0.5486329	0.1821495
o	0.23496455	0.02188247	0.008615163	0.28262714	0.4005859	0.051324766
è	0.00068917935	0.0005422584	0.00786426	0.06691744	0.84561753	0.07836934
t	0.00024518542	0.00012742574	0.0032177663	0.03136986	0.9424171	0.022622667
a	0.01829425	0.003630418	0.010519796	0.0030218551	0.9633542	0.001179576
</S>	0.0005082448	0.0002685792	0.002015648	0.031275168	0.3591403	0.606792
