 	li	vestono	i	genitori	</S>
t	0.99910516	0.00014043144	0.00010859807	0.00016594198	0.00047983348
u	0.98958033	0.004108802	0.0003370244	0.0059302747	4.3479515e-05
s	0.8854301	0.06474083	0.04337542	0.0022730117	0.0041806293
i	0.59506565	0.016008068	0.0045947377	0.37970948	0.004622094
n	0.190428	0.38205284	0.41314372	0.0040428126	0.010332651
d	0.63432324	0.04132492	0.008375403	0.3096093	0.006367142
ì	0.1084233	0.061224993	0.12523744	0.7040925	0.0010217268
n	0.0008147187	0.25561133	0.6832381	0.034969464	0.025366412
n	0.25221083	0.28688323	0.11269877	0.34788996	0.00031718725
o	0.6663813	0.08123065	0.10885272	0.14303678	0.00049850927
n	7.340371e-05	0.054139014	0.7152725	0.096419804	0.1340953
e	0.011319918	0.0064227856	0.008134201	0.9725222	0.0016009571
i	8.6269625e-05	0.032492567	0.49174932	0.350501	0.12517083
g	0.0028675152	0.05320423	0.7129436	0.18955138	0.041433223
e	0.0040852306	0.0009969228	0.002059107	0.98867303	0.004185666
n	0.0029758117	0.079698585	0.37841362	0.4386791	0.10023285
i	0.00080858264	0.0004300555	0.0018991195	0.97657245	0.020289717
t	0.00081119087	0.022469064	0.055748627	0.52557224	0.39539886
ò	0.00027584302	0.0001998085	0.00020300923	0.9765995	0.022721846
r	8.456706e-05	0.002727715	0.006180707	0.8174632	0.17354383
i	0.0006795165	0.0009850118	0.0015792258	0.9961892	0.00056704844
</S>	0.00011224257	0.0012052228	0.002289826	0.08321573	0.91317695
