 	nella	pasta	vuole	sale	</S>
s	0.99792165	0.0020600876	1.426702e-05	1.6152388e-06	2.3831149e-06
t	0.984055	0.013196503	0.00043153102	0.0023164912	4.5946507e-07
i	0.9767977	0.018415084	0.0014738806	0.0033129093	5.198529e-07
p	0.4562992	0.5186717	0.021002498	0.0027623419	0.0012642184
à	0.019295285	0.02551519	0.11110619	0.8431126	0.0009706984
s	0.046091106	0.9497011	0.0033002836	0.0008983887	9.146507e-06
t	0.0018955539	0.6980503	0.21701382	0.083036795	3.5538462e-06
a	0.0037940845	0.9048251	0.030617077	0.060761888	1.8169432e-06
t	0.004338225	0.15346822	0.7373196	0.02923929	0.07563477
è	0.00019152445	0.020026743	0.69230616	0.28643358	0.0010419586
l	0.0007577671	0.0405084	0.85554236	0.092123255	0.011068241
i	5.3299176e-05	0.0150565235	0.9120142	0.07263314	0.00024279866
à	0.0033045232	0.0025986203	0.3261782	0.32653216	0.34138647
l	0.0011554831	0.0066452287	0.10156755	0.8339191	0.056712657
a	0.0008156482	0.006685974	0.42821544	0.56337965	0.0009033195
</S>	0.006674613	0.00036966626	0.017491493	0.24927185	0.72619236
