 	voglio	che	Maria	viene	domani	</S>
t	0.9983627	0.0015891872	3.807201e-05	1.9246272e-06	7.5013384e-07	7.4044665e-06
è	0.16913751	0.22602706	0.5843026	0.018042106	0.0024822864	8.448672e-06
l	0.9667099	0.03289377	0.00036966265	1.2858168e-05	2.2275635e-06	1.1469605e-05
o	0.056755174	0.3547361	0.56953216	0.016905654	0.002068713	2.2872168e-06
e	0.05865791	0.8664519	0.06485094	0.0039899475	0.001908324	0.0041409456
M	0.0026474814	0.11897324	0.7141451	0.0780228	0.07375147	0.012459866
a	0.019072393	0.7454767	0.20959626	0.02406892	0.0016898855	9.575944e-05
r	0.0448875	0.7459621	0.20079558	0.007320234	0.00021210795	0.0008225079
ì	0.049470834	0.2657644	0.079186544	0.059304453	0.044741046	0.5015328
a	0.025538176	0.10043465	0.45226443	0.29358467	0.07031335	0.057864755
n	0.0002825566	0.000711722	0.15915777	0.64534205	0.18652055	0.007985368
a	0.0046019517	0.009061625	0.012422397	0.01672975	0.91101795	0.04616627
r	0.026177472	0.00950321	0.13327955	0.8028033	0.01894161	0.009294855
t	0.00023498604	0.0016832218	0.00052472344	0.009982174	0.011598132	0.97597677
i	0.09036465	0.865967	0.010533656	0.0059103365	0.016035553	0.011188888
à	0.0073084524	0.0015981833	0.0022141754	0.1191899	0.6712804	0.19840895
v	4.4755263e-05	1.2839532e-05	0.00021260451	0.10140667	0.89596665	0.0023565067
v	4.9169794e-05	0.00015407639	7.201223e-05	0.00027930137	0.9792646	0.020180851
r	0.0036590162	0.03392655	0.0082160225	0.0042293426	0.9391703	0.010798779
i	0.24380241	0.64766437	0.07664629	0.006965465	0.0072503085	0.017671105
</S>	0.08081169	0.021797867	0.0008933367	0.0012633408	0.18561855	0.7096152
