 	io	voglio	che	Maria	venga	qui	</S>
e	0.94202054	0.05650832	0.000908038	0.00041987948	4.2272914e-05	1.4564737e-05	8.635023e-05
v	0.8849539	0.10575997	0.0047774906	0.0037317474	0.0006851602	4.6732934e-05	4.49003e-05
ò	0.075046465	0.8650759	0.057302516	0.0022156618	0.00020548224	0.00015234564	1.6288438e-06
t	0.32180676	0.6523995	0.014090176	0.0085272025	0.0028724568	0.00026827469	3.5621055e-05
è	0.084686115	0.55651206	0.18859957	0.103132054	0.048762802	0.01828635	2.104277e-05
l	0.0041843248	0.9287448	0.057231896	0.006129093	0.0014993133	0.00025524056	0.0019553585
o	0.008123903	0.33413067	0.4216358	0.19675264	0.031508714	0.007837516	1.0780115e-05
n	0.0022968887	0.31295192	0.48479882	0.12477861	0.030821603	0.0051943213	0.039157815
a	0.010457208	0.078671366	0.42051297	0.43193412	0.046630047	0.011672986	0.00012118778
r	0.0029885091	0.022156293	0.59665364	0.1688337	0.19033174	0.016161771	0.0028743583
t	0.0019871052	0.029629106	0.6427022	0.07870408	0.07904603	0.15231386	0.015617571
i	0.0019205639	0.30564767	0.49404502	0.13350262	0.030883925	0.033285003	0.0007152183
e	0.0008746815	0.0023779608	0.066817194	0.4117362	0.38272104	0.08339597	0.05207688
M	0.00049086293	4.4370536e-05	0.0029187487	0.19320975	0.7290998	0.0729173	0.0013192177
a	0.0015455678	0.032031253	0.29509765	0.2424859	0.13521984	0.27706474	0.016555
r	0.00088627427	0.008008167	0.0977258	0.2569405	0.33756077	0.28254947	0.01632909
ì	0.001595991	0.0020928169	0.020915262	0.0054047885	0.14168307	0.6038452	0.22446287
a	0.0006628083	0.0023218307	0.004450144	0.008637675	0.50205666	0.43311054	0.048760343
e	0.0023854182	0.00012681184	0.00021295273	0.0020081468	0.6926142	0.29183584	0.010816644
t	0.015661843	0.00082525145	0.0007486598	0.0014484775	0.5275322	0.43288645	0.02089707
t	0.009569341	0.0034541725	0.017983545	0.0071223658	0.017158058	0.8437114	0.10100115
ù	0.011565833	0.045837756	0.082276635	0.006788512	0.00866205	0.5012371	0.34363207
</S>	0.008698104	0.023246469	0.018353816	0.00070615916	0.013857679	0.14130846	0.7938293
