 	è	che	stanno	ancora	alzati	</S>
è	0.7653713	0.20690455	0.026325777	0.00011710017	1.1904856e-05	0.0012695197
n	0.015363799	0.8007986	0.18006426	0.00034042425	0.0013808316	0.0020520382
a	0.1339246	0.11157149	0.66982013	0.019234339	0.010829205	0.054620214
s	0.006896945	0.24307607	0.7273786	0.010929971	0.0048074313	0.0069109723
t	0.08241593	0.07586721	0.8385767	0.0016220529	0.0003053187	0.0012127674
a	0.00082690024	0.038621735	0.9597249	0.00076559075	5.8563328e-05	2.2395068e-06
s	0.001747546	0.016667088	0.7798992	0.056914944	0.010304992	0.13446619
ù	0.15577881	0.035829417	0.78648263	0.011737105	0.0010418694	0.009130021
n	0.001441421	0.013878017	0.64211583	0.20413472	0.02659806	0.11183204
e	0.49653018	0.02374691	0.25501758	0.183309	0.00822063	0.033175677
a	0.00073114637	0.0013211641	0.011647229	0.39054352	0.53498983	0.06076714
n	0.0017792879	0.000676991	0.0025395385	0.6535191	0.33010632	0.011378829
k	0.07762895	0.011187473	0.008681436	0.009944198	0.0025470124	0.89001095
ò	0.078582235	0.30862108	0.31034827	0.11018332	0.15494767	0.037317395
r	0.0003485424	0.00043207197	0.00019069547	0.037668742	0.9584794	0.0028805418
a	0.054429937	0.006937332	0.008581232	0.10213032	0.33116508	0.49675617
o	0.0022687342	0.004492638	0.0039990027	0.023883345	0.67908466	0.2862715
r	0.0058493163	0.006512745	0.001435143	0.010368962	0.91002285	0.06581103
t	0.038343083	0.010738589	0.001993227	0.0026761645	0.021210793	0.9250382
ì	0.038043	0.037345536	0.025445104	0.16757545	0.047127046	0.68446386
</S>	0.00453972	0.023182493	0.012025123	0.010164075	0.6490167	0.30107197
