 	mio	padre	ha	lavorato	sempre	</S>
o	0.96748155	0.032164365	0.00016101587	0.00016128112	2.0825896e-06	2.9788664e-05
c	0.8526959	0.14674509	0.00050365244	3.859073e-05	4.349762e-06	1.2383711e-05
i	0.05220396	0.94346654	0.004285779	2.4481003e-05	1.7334816e-05	1.930666e-06
ù	0.44742188	0.49849916	0.05086922	0.0031161886	8.437526e-05	9.132572e-06
r	0.36315486	0.6281219	0.00806968	0.00062781974	1.4221292e-05	1.1426541e-05
i	0.06259973	0.69348806	0.19254366	0.03831699	0.013042705	8.860627e-06
m	0.010785801	0.8886787	0.08349008	0.013735683	0.00021204965	0.0030975852
m	0.0023811448	0.58230305	0.40221027	0.008624848	0.004463978	1.657188e-05
u	0.0012450931	0.86555314	0.13223603	0.00075355585	0.0002119387	2.1591165e-07
è	0.00013542797	0.096137084	0.6035599	0.23619814	0.0012898735	0.062679626
p	0.00043771142	0.4770132	0.3913111	0.11663575	0.006302083	0.008300305
o	0.036814403	0.049988955	0.5707335	0.2711911	0.069775276	0.0014967384
l	0.0022631283	0.015605211	0.1561038	0.7796829	0.029088624	0.017256392
e	0.0065620486	0.0141322	0.20236401	0.6382011	0.13401969	0.004720941
m	0.0006432967	0.0037462718	0.015127209	0.81727684	0.11118416	0.052022178
i	0.0010805364	0.0014388547	0.011102057	0.9043809	0.066755496	0.015242207
m	0.00061429496	0.0055381404	0.008139887	0.61779565	0.29152676	0.076385275
m	0.0022869068	0.0011826574	0.004578256	0.7133562	0.2001004	0.078495674
è	0.00090553594	0.001347485	0.0076035494	0.7780519	0.2074899	0.0046016173
n	0.004941233	0.014096517	0.0025014384	0.069104664	0.19999823	0.7093579
a	0.0072670993	0.0013131788	0.07935865	0.063038506	0.8443956	0.0046270336
p	0.0051762206	0.0033892074	0.0032371376	0.028300783	0.3282687	0.631628
à	0.008441267	0.0011578384	0.008792093	0.01204337	0.9495108	0.020054689
n	0.001920713	0.0022752362	0.0017316918	0.010625618	0.848795	0.1346517
t	0.011039707	0.00021871735	0.007112278	0.004389014	0.9567154	0.02052487
a	0.16628708	0.004873215	0.02004305	0.0023212023	0.531515	0.2749605
</S>	0.013745978	0.008407044	0.0019646152	0.0025668368	0.06332371	0.90999186
