 	l'	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.9481324	0.038490456	0.013213674	7.857602e-05	1.18068265e-05	4.92959e-05	7.815224e-06	3.5346952e-06	1.2540705e-05
c	0.15272884	0.79177016	0.049966596	0.0039246087	0.0003425742	0.0006584513	0.0003516707	0.00011400771	0.00014306046
h	0.024733745	0.93466353	0.03097736	0.008222337	0.00020105054	0.00096593803	5.4185555e-05	0.00016682752	1.506028e-05
r	0.012238555	0.48243657	0.2664748	0.16155855	0.0027008583	0.069490805	0.00067737	0.0044156513	6.7652295e-06
ò	0.037891537	0.5367781	0.37990987	0.029703397	0.0018685076	0.012171663	0.0005436485	0.0011107561	2.254636e-05
n	0.0006392172	0.5840264	0.40940052	0.0042284867	0.00077081955	0.0005241486	0.00022719141	8.762864e-06	0.00017442359
o	0.023029387	0.7940912	0.16332953	0.01598458	0.000462062	0.0027804107	0.0002573508	6.528422e-05	2.2676186e-07
k	0.00012142196	0.053505566	0.90255183	0.032456495	0.005568035	0.003905316	0.0012643943	6.0281305e-05	0.0005666241
a	0.029780105	0.4074029	0.4055041	0.094820715	0.021733157	0.03475426	0.0037605301	0.0016892942	0.0005549875
m	8.444297e-05	0.020437395	0.8087438	0.11737753	0.026821945	0.018305896	0.0050634947	0.00010795879	0.0030575462
b	0.010017655	0.16413745	0.42787403	0.12867194	0.14503616	0.07779281	0.03226539	0.0073469346	0.006857674
è	0.0005976649	0.013941145	0.11130283	0.16581205	0.038968373	0.65979284	0.0063106944	0.0032572108	1.7214283e-05
n	6.412169e-05	0.0053333715	0.16177352	0.50153375	0.1627265	0.12442501	0.031592667	0.00019226741	0.012358755
n	0.0125722755	0.09138173	0.09637062	0.18462688	0.17061555	0.25021955	0.18764327	0.0064839683	8.618355e-05
i	0.022197155	0.117558464	0.035853975	0.21242209	0.04633475	0.50681376	0.040642153	0.018145034	3.2646516e-05
è	7.831887e-05	0.000971808	0.008225026	0.07730927	0.35665065	0.45513493	0.08832029	0.0021611948	0.011148576
n	0.0002894334	0.0016697283	0.005360269	0.19361329	0.28666192	0.34618634	0.14920719	0.0119122565	0.00509955
a	0.007012136	0.015036667	0.02809372	0.015920036	0.04813473	0.22619009	0.6168203	0.042448517	0.0003438317
f	0.00016556731	0.0016434123	0.0027753538	0.011101046	0.2795745	0.36206865	0.29062784	0.023210488	0.028833173
à	0.004951047	0.0036191503	0.06939732	0.0063215033	0.07529936	0.19097917	0.60947436	0.023880119	0.016078042
o	0.00012025935	0.0012018735	0.0017469963	0.0075712097	0.12018989	0.37012848	0.36463737	0.12418834	0.010215618
p	0.004471426	0.008916996	0.0023060364	0.003340981	0.0701443	0.050923005	0.465649	0.34195647	0.052291825
o	0.0028916849	0.0010421041	0.019610144	0.003415574	0.004447458	0.027498016	0.845127	0.08981268	0.006155446
d	0.00094192114	0.003970927	0.0024463213	0.005451042	0.029424218	0.012702325	0.48969308	0.43777153	0.017598564
d	0.004043852	0.0013118142	0.027135331	0.0041033598	0.0066553317	0.023471396	0.6913279	0.22622581	0.015725246
h	0.00036303204	0.0018732467	0.007833484	0.004744533	0.0073635243	0.023257274	0.53779066	0.41451085	0.002263405
à	0.0014025726	0.004949086	0.0071857334	0.0013100409	0.0060357274	0.0043206746	0.1652094	0.8068247	0.0027619912
g	0.001165292	0.00697824	0.0045658913	0.0045584645	0.0040474385	0.006107336	0.06443132	0.7376475	0.17049852
l	0.0006456393	0.000581444	0.0028189595	0.00508275	0.0034682627	0.020398004	0.51803035	0.4458135	0.0031610392
i	0.03491221	0.08100315	0.013052454	0.007017091	0.0057614595	0.0016707864	0.10243391	0.75196654	0.0021824157
c	0.0021715	0.011057431	0.004522867	0.005849732	0.00096820854	0.0026111458	0.011238697	0.26553515	0.69604534
è	0.0021490941	0.0012020484	0.010119536	0.0021818988	0.0025300756	0.017862856	0.28581804	0.66474426	0.013392195
a	0.0003214178	0.0014758109	0.00089998473	0.0017829627	0.0019920778	0.0010711777	0.031462085	0.9315936	0.02940078
</S>	0.020742977	0.026701001	0.008690082	0.004769671	0.00053453224	0.0007712106	0.011666059	0.84942347	0.07670095
