 	vengono	vestiti	</S>
è	0.9785048	0.007027917	0.014467252
r	0.99551433	0.002176046	0.0023096004
k	0.05798488	0.90221524	0.039799858
u	0.63743436	0.36198023	0.0005854172
t	0.024069073	0.7572779	0.21865307
t	0.027065465	0.9582651	0.01466942
e	0.034191556	0.96236473	0.0034437599
n	0.0010358249	0.19638476	0.8025794
d	0.037988275	0.94752485	0.0144868465
i	0.009460669	0.98581356	0.004725794
m	0.00628721	0.256504	0.7372088
è	0.0054478915	0.90484625	0.089705884
n	0.0001953115	0.48762345	0.5121812
a	0.672412	0.088966794	0.23862122
</S>	0.0017073906	0.011143634	0.98714894
