 	il	lenzuolo	vuole	lavato	</S>
o	0.9978416	0.0020832652	2.6637199e-05	3.6948472e-06	4.4833032e-05
p	0.9709618	0.028710952	0.0001120678	1.593834e-05	0.00019918528
l	0.30128127	0.6675865	0.030924	3.123158e-05	0.0001769938
a	0.06813312	0.9215796	0.010250583	2.0055499e-05	1.6581384e-05
ù	0.011906166	0.96670616	0.01861658	0.0003986178	0.0023724055
n	0.008406077	0.6184672	0.3494651	0.004032586	0.01962898
a	0.0904154	0.24329233	0.6657027	2.6998096e-05	0.0005625897
t	0.0010536232	0.27973646	0.60227585	0.027330576	0.089603454
è	0.004513188	0.025356956	0.9685287	0.00022725448	0.0013739506
l	0.0002260645	0.060121175	0.83421224	0.06187039	0.04357015
i	0.0039371825	0.006664582	0.9892202	3.4192595e-05	0.00014387687
p	0.00019534066	0.0010162875	0.4310702	0.1840132	0.38370502
l	0.31256425	0.012101992	0.66271406	0.0013363012	0.01128339
i	0.0017038565	0.06643591	0.9219733	0.005633902	0.0042530615
m	0.0003324773	0.00025546187	0.047622032	0.5781034	0.37368655
è	0.055821635	0.004335587	0.8011904	0.01620792	0.12244448
n	5.5526016e-05	0.00025428864	0.09164328	0.6266879	0.28135905
o	0.45253506	0.01671263	0.020437917	0.029422378	0.480892
</S>	0.0002503779	0.00012231	0.0020207881	0.45208183	0.5455247
