 	entrò	da	qui	</S>
m	0.9965425	0.003337092	1.2870188e-05	0.000107461405
b	0.98862094	0.0044625406	0.0069032493	1.3308328e-05
ì	0.2762056	0.23378977	0.48970217	0.000302381
k	0.07320923	0.902359	0.004301575	0.020130103
e	0.3659148	0.2665848	0.36682847	0.0006719281
a	0.0047713327	0.63400793	0.15123534	0.20998542
p	0.010283711	0.034202278	0.7368618	0.21865222
ò	0.04032323	0.0066722706	0.8122151	0.1407894
t	0.0018114599	0.004482355	0.3542502	0.639456
t	0.006507363	0.02797221	0.9438268	0.021693662
u	0.0010671355	0.00066773104	0.997581	0.00068416196
</S>	0.00044386782	0.00033373325	0.023723949	0.9754985
