 	la	macchina	vuole	riparata	dal	meccanico	</S>
i	0.85252994	0.14617707	0.00085583393	0.0003030792	0.00010810039	7.125494e-06	1.8935669e-05
m	0.33130014	0.666268	0.0016698354	0.00055651757	0.000117044896	2.6393345e-05	6.2042796e-05
à	0.93419117	0.060527418	0.0052258167	1.0600495e-05	1.0208621e-05	3.3518952e-06	3.1563202e-05
k	0.0640398	0.9134751	0.021860674	0.00051555847	9.747492e-05	2.6909863e-06	8.763494e-06
i	0.52460253	0.39412677	0.08097865	0.00028039396	9.152681e-06	4.1320533e-07	1.9754477e-06
n	0.0012497859	0.89377266	0.098801926	0.0040699104	0.0010940308	7.5933254e-05	0.0009356867
a	0.26681003	0.26937985	0.45555133	0.005801644	0.0012976662	0.00023789392	0.0009216143
t	0.00037671687	0.1333039	0.8416174	0.017627602	0.005727901	0.00024368826	0.0011027328
è	0.027658956	0.06307682	0.88979536	0.008637295	0.0039687725	0.00074065465	0.0061220443
l	5.2101946e-05	0.0202987	0.951646	0.01804112	0.008267586	0.0006124079	0.0010821983
i	0.0045375237	0.04781681	0.9438371	0.003507939	0.00025078704	1.00416655e-05	3.9826537e-05
s	0.00013679266	0.0039806217	0.7508598	0.14055562	0.08056917	0.006962149	0.016935844
t	0.012165965	0.061772157	0.9040224	0.009876528	0.008362944	0.0006372045	0.0031628858
i	0.005914246	0.010701496	0.9636005	0.015182669	0.0043828622	0.000121960686	9.62815e-05
a	0.0002076206	0.00086674036	0.15645745	0.2408852	0.49587703	0.052171852	0.05353414
m	0.014359297	0.0015802634	0.044204473	0.4237252	0.41457084	0.051937066	0.049623013
m	0.026825946	0.18451762	0.4712808	0.020756442	0.25209638	0.01366431	0.030858442
è	0.015435445	0.0043589873	0.17050834	0.021050863	0.7702157	0.013491246	0.0049394905
n	0.00029871173	0.0001612871	0.0034017384	0.029553525	0.5827867	0.2564503	0.12734783
i	0.024690514	0.11921138	0.8405838	0.0012195997	0.0091060735	0.0019851006	0.0032035408
à	0.0014770075	0.0013693412	0.013296941	0.026622048	0.3856234	0.3958162	0.17579505
t	0.015867282	0.0013800985	0.0059437593	0.014562476	0.429649	0.30715674	0.22544062
t	0.2586284	0.33625287	0.35573575	0.0027524289	0.03370542	0.006403762	0.006521371
o	0.6965952	0.059824415	0.097098425	0.0021268507	0.015816314	0.020619802	0.10791896
m	0.00065157254	0.00032207166	0.00487505	0.004886589	0.010695392	0.5952931	0.3832762
e	0.09353802	0.03822092	0.036269486	0.0032256793	0.09947218	0.24883077	0.4804429
k	0.001001607	0.0004718716	0.00734639	0.008158138	0.009895382	0.6371677	0.33595887
k	0.07691127	0.02984588	0.014806678	0.0012841676	0.008481911	0.19630884	0.67236125
à	0.010996262	0.0008708063	0.011688732	0.008987923	0.01117054	0.1992884	0.7569973
n	0.0048515582	0.0009742292	0.0102612525	0.001491241	0.0012533197	0.3044225	0.6767459
i	0.08552422	0.034638908	0.22101784	0.0047688847	0.0020324355	0.1884549	0.46356285
k	0.0021158378	0.0009904181	0.01834577	0.0029398482	0.0015165505	0.14425175	0.82983977
o	0.2150269	0.059103537	0.09080752	0.0033511554	0.002306904	0.0690713	0.5603327
</S>	0.003278052	0.00084386324	0.0135454815	0.0018217055	0.0008637612	0.10416629	0.87548083
