 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.94961226	0.04822432	0.0013763322	0.0005551771	0.00014957444	2.4035706e-05	5.8371214e-05
i	0.5863803	0.022388024	0.38610741	0.0006032848	0.000193775	0.004255438	7.184864e-05
k	0.29464263	0.6549989	0.037549525	0.011828833	0.00033456413	0.0003318257	0.00031368752
à	0.19438812	0.04610352	0.7150149	0.017687414	0.0019240968	0.02441972	0.00046225864
n	0.020355435	0.71379113	0.14299613	0.11849518	0.0034747608	0.00041126323	0.00047615034
n	0.20325463	0.015745206	0.65694827	0.04418716	0.0013271484	0.078528054	9.55212e-06
i	0.026936403	0.0060621677	0.9630767	0.0010251228	1.8044251e-05	0.002881172	3.1058337e-07
e	0.0004039536	0.07055293	0.34590137	0.5585762	0.015271054	0.0024980323	0.0067964587
A	0.0018805525	0.012444603	0.7031463	0.25282863	0.017961325	0.007364448	0.004374123
n	0.0012770363	0.003205161	0.9189888	0.060129046	0.008182195	0.00794724	0.0002705118
n	0.11297152	0.008007195	0.2930085	0.24230927	0.050357886	0.04553458	0.24781099
a	0.0035429876	0.008317792	0.09904716	0.22138005	0.026824726	0.6390974	0.0017899218
o	0.0020507644	0.0053334273	0.017022127	0.59725606	0.32702634	0.046973802	0.004337485
s	0.014813005	0.0070342124	0.034701772	0.1574691	0.34178695	0.41998136	0.024213597
à	0.0040294975	0.02761737	0.006258916	0.1270909	0.76688516	0.040385522	0.027732616
m	0.0004905423	0.001514135	0.0042720935	0.06881814	0.7767365	0.12632728	0.02184135
b	0.0004701731	0.0015566781	0.0005620628	0.0812276	0.8592347	0.056747768	0.00020100802
a	0.0052964124	0.0058621247	0.0016243361	0.0051639364	0.009685863	0.97113174	0.0012355724
p	0.0006801826	0.006007367	0.00319876	0.009478558	0.19312397	0.318399	0.46911216
o	0.0046898792	0.01777689	0.0012973276	0.025226748	0.1016527	0.80892056	0.04043596
r	0.0033745314	0.009799954	0.007378429	0.010102061	0.27429977	0.46339494	0.23165032
n	0.0014505392	0.0033535757	0.0007706309	0.0019555127	0.166215	0.091885574	0.73436916
ò	0.0005227007	0.0025207563	0.004671365	0.015762974	0.34731773	0.59194154	0.037262857
</S>	0.00078027084	0.0037505259	0.0066284956	0.0011077825	0.014321525	0.53557396	0.43783745
