 	è	che	sono	usciti	</S>
è	0.8348855	0.15388799	0.0081475945	0.00020053239	0.0028784242
n	0.0352009	0.9298845	0.026985064	0.001570174	0.006359308
a	0.0043572593	0.0036162385	0.010506896	0.9731364	0.008383273
g	0.012539565	0.3542674	0.25676367	0.35031906	0.02611035
u	0.032947592	0.8498354	0.08226262	0.034916762	3.7632963e-05
ì	0.0036807752	0.031028077	0.37863094	0.54887867	0.037781537
k	0.0021783523	0.0055231624	0.00705589	0.9818927	0.0033498234
a	0.2587448	0.026385928	0.18481115	0.51984185	0.010216237
n	0.0009929999	0.0021641033	0.053079806	0.5002893	0.44347376
e	0.61172974	0.046563044	0.06049607	0.26363352	0.017577691
</S>	0.0005673497	0.00129571	0.006725473	0.5151259	0.47628558
