 	io	non	so	cosa	è	da	scrivere	</S>
e	0.8867041	0.059020795	0.052531343	0.0012666628	5.226178e-05	0.00034921838	9.034311e-06	6.665166e-05
v	0.90430945	0.07463309	0.01868325	0.001999973	0.00016520332	9.553688e-05	5.1242754e-05	6.2296174e-05
ò	0.8474119	0.012726946	0.13592276	0.0035593407	0.00025700996	6.0806007e-05	1.1052464e-05	5.0300176e-05
e	0.058560483	0.4925228	0.39977795	0.047930136	0.0010406069	0.00014105141	1.5776735e-05	1.1222333e-05
n	0.029792434	0.52816623	0.35829654	0.08057016	0.0024738687	0.00037793972	0.00024460012	7.8133344e-05
e	0.54203093	0.011455558	0.34259254	0.07418759	0.0152464	0.00054778135	0.0017014437	0.012237804
s	0.0011842469	0.033393614	0.36109796	0.59198064	0.009084652	0.0028124277	7.522087e-05	0.00037124119
s	0.021459762	0.009529243	0.87258446	0.06929215	0.0066589615	0.00804384	0.000412666	0.012018925
è	0.0038837602	0.019973667	0.31307575	0.4931523	0.06285845	0.1052319	0.0015760049	0.0002481961
r	0.00014405038	0.0050591547	0.03535234	0.8821763	0.056507543	0.018168882	0.00046308013	0.0021287105
o	0.0010412212	0.026391555	0.49308103	0.3882966	0.074368455	0.015518502	0.0008251495	0.00047751845
t	0.0002496968	0.0017732425	0.0033599786	0.80309594	0.117120996	0.06636571	0.0015801648	0.0064543006
i	0.0014867835	0.055533204	0.35898986	0.40301582	0.09651315	0.06659471	0.004033809	0.013832704
e	0.00069166115	0.0021698638	0.002135831	0.50769544	0.22414762	0.23434629	0.009344174	0.019469136
n	0.060394324	0.0033589832	0.0011341721	0.20123295	0.33013785	0.1606191	0.20059487	0.042527765
a	0.0065227984	0.13713314	0.13192725	0.054836955	0.046189763	0.19531384	0.021222726	0.4068535
g	0.0055257543	0.002912744	0.0009943465	0.03623567	0.106317155	0.2591185	0.5773441	0.011551728
r	0.014436771	0.13927473	0.10864721	0.024463262	0.018938951	0.14473453	0.042474672	0.50702983
à	9.386527e-05	0.0024408125	0.0012528982	0.009701413	0.004827468	0.15499038	0.08326851	0.7434247
s	0.009315547	0.0033931069	0.0010385709	0.004051559	0.012488174	0.027984552	0.8622632	0.07946515
s	0.00072231726	0.013074556	0.030250749	0.0649864	0.05492656	0.46077445	0.15505356	0.22021146
o	0.09107727	0.036234997	0.06327017	0.2426817	0.078972116	0.32850006	0.117686294	0.04157734
</S>	0.006079541	0.005727211	0.0059079924	0.0054628616	0.01278623	0.025919678	0.20621608	0.7319004
