 	non	sapeva	dove	a	stare	</S>
e	0.61171514	0.3717295	0.014973428	0.0010545667	0.00034474488	0.00018251085
n	0.19485122	0.7667094	0.0338573	0.0019278994	0.0015047538	0.0011493047
ì	0.014484209	0.9722138	0.008507684	0.0003573881	0.004192352	0.00024459566
s	0.0040808385	0.9060578	0.08975628	6.5766704e-05	3.865879e-05	6.7829137e-07
s	0.028042547	0.9654517	0.0063729472	0.00010071799	6.2443683e-06	2.5903226e-05
e	0.014287496	0.9725978	0.010420463	0.00016836598	0.0025168282	8.994727e-06
r	0.001063131	0.020546578	0.8952372	0.049714994	0.024928913	0.008509198
e	0.12812622	0.7438697	0.11231771	0.0045972983	0.0073226513	0.0037664564
p	0.00030178824	0.0004625379	0.5743513	0.22633569	0.14901464	0.04953409
u	0.56365603	0.1020379	0.030479668	0.029634811	0.11145463	0.16273698
n	0.0013318631	0.0009928935	0.14828302	0.6420508	0.16254576	0.044795636
a	0.042078532	0.009617365	0.1557355	0.133763	0.057896223	0.6009094
s	0.00063075003	0.000441602	0.015407549	0.57753044	0.25992098	0.14606875
t	0.0046221362	0.0012985868	0.015109293	0.11428203	0.02366528	0.8410227
a	0.0019495463	0.0039045608	0.018365884	0.1347556	0.7841813	0.056843106
s	9.3885654e-05	0.00013091326	0.0029283138	0.1633677	0.5298134	0.30366576
ì	0.0017525003	0.0010870653	0.0077337334	0.06702918	0.027328733	0.89506876
</S>	9.050694e-05	0.00023084617	0.0015357849	0.041818637	0.5581398	0.3981844
