 	vogliono	girate	</S>
t	0.9989452	0.00024124552	0.00081356993
è	0.994239	0.0056101317	0.00015082891
l	0.99691963	0.002430613	0.00064984104
u	0.99812156	0.0018154578	6.29338e-05
n	0.31996343	0.44288445	0.23715208
e	0.4966728	0.49514875	0.008178448
v	0.050682135	0.8658924	0.083425544
o	0.2341432	0.7496138	0.016243005
t	0.0030001667	0.9388993	0.058100518
i	0.01030419	0.9803807	0.009315002
m	0.0010422188	0.7974142	0.20154363
m	0.0014177875	0.9894601	0.009122094
è	0.0009467682	0.9894035	0.009649799
n	0.002305194	0.21225688	0.785438
e	0.060963154	0.8393305	0.09970642
</S>	0.0016939605	0.17751212	0.82079387
