 	non	mangiare	la	sera	</S>
m	0.048608914	0.9502974	0.000937048	2.429625e-05	0.00013231272
i	0.059382252	0.90601236	0.0011749637	0.033393487	3.69001e-05
f	0.1178465	0.84577024	0.032110482	0.0038375214	0.00043514787
a	0.0039875587	0.98587394	0.0074862656	0.0025385618	0.00011374337
i	0.19857188	0.1812678	0.57942504	0.0361258	0.004609488
o	0.026958883	0.04680692	0.5178046	0.3603901	0.04803945
v	0.078862324	0.010289888	0.3924012	0.45947537	0.058971312
r	0.11093107	0.67291087	0.15262257	0.048707172	0.014828343
à	0.0053150128	0.0399693	0.93621737	0.008098392	0.010399959
i	0.0049041687	0.0013588197	0.19058064	0.6998291	0.10332723
</S>	0.03378813	0.0015965927	0.050382737	0.6924075	0.2218251
