 	dei	genitori	</S>
à	0.99935	0.00010451844	0.00054545066
t	0.99923277	0.00027536784	0.000491875
t	0.6710643	0.32870066	0.00023505058
u	0.96565396	0.034342203	3.7985083e-06
s	0.16048518	0.22653882	0.61297596
g	0.0064010816	0.9893156	0.0042832647
e	0.050683837	0.91361594	0.035700157
n	0.008099607	0.63927484	0.35262555
i	0.0032056186	0.99467	0.0021243314
t	0.0012844448	0.2859271	0.71278846
ò	0.00017611383	0.99530905	0.0045148344
r	0.0007793944	0.74907434	0.2501463
u	0.00019058661	0.99904495	0.0007645062
</S>	0.00033213114	0.022350583	0.9773172
