 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
c	0.9815006	0.01775561	0.00052311085	0.00020717364	5.2207665e-06	2.2621716e-06	1.3284374e-06	7.4328653e-07	8.233947e-07	5.559892e-07	4.8588305e-07	5.97656e-07	5.402514e-07	5.441912e-07	2.7992775e-07
ì	0.63896054	0.3576694	0.003080114	0.00019023368	7.756365e-06	7.751902e-05	5.6073327e-07	2.2188433e-06	5.17788e-07	1.6400425e-07	3.3258965e-07	7.6854684e-07	5.085465e-07	8.724758e-06	6.41408e-07
n	0.37002954	0.5991573	0.023576649	0.0067668944	0.0001927932	0.00019418063	1.9478293e-05	2.6118634e-05	1.0825434e-05	4.799014e-06	4.544282e-06	3.252667e-06	2.8856305e-06	2.9933385e-06	7.7212435e-06
o	0.28450257	0.7101127	0.005273723	7.190884e-05	7.361959e-07	3.733799e-05	3.85432e-08	8.790095e-07	2.8738363e-08	7.2911996e-09	1.7123352e-08	1.1865321e-08	6.5586296e-09	7.106413e-08	8.3192025e-10
ì	0.0025930374	0.8450608	0.12041158	0.030879233	0.00050904736	0.00036456366	3.7202266e-05	8.2028666e-05	2.408942e-05	9.241056e-06	9.086064e-06	3.5876242e-06	3.4066798e-06	3.0035987e-06	1.0089847e-05
t	0.0017608205	0.9488852	0.041205388	0.0076451846	0.00012234901	0.00029440047	1.535194e-05	4.5051773e-05	8.736e-06	3.7672817e-06	3.513107e-06	1.6521599e-06	1.8102613e-06	4.5248854e-07	6.284689e-06
s	0.008061481	0.7034186	0.2513806	0.019274395	0.0011986173	0.015727507	6.6389315e-05	0.00078898045	2.4996938e-05	3.845143e-06	1.297815e-05	4.51735e-06	1.5823007e-06	3.491332e-05	6.319634e-07
e	0.011086914	0.98602194	0.0028437413	1.4337512e-05	6.427833e-07	3.2059896e-05	2.3508022e-08	1.788813e-07	1.1413883e-08	4.1183306e-09	1.0151523e-08	8.132914e-09	1.6732534e-08	1.7039665e-07	2.2968396e-09
r	3.7304333e-05	0.30864215	0.4666495	0.21914181	0.0037827925	0.0012333959	0.00017746964	0.00015091753	7.250722e-05	1.8891024e-05	1.4025875e-05	1.0757848e-05	8.838773e-06	4.1392377e-06	5.536285e-05
e	0.0017934849	0.8024442	0.1745405	0.018921454	0.0002093609	0.0019969386	1.0120658e-05	6.389593e-05	4.2771208e-06	1.3954864e-06	1.5703437e-06	7.376552e-07	6.0951845e-07	7.1308837e-06	4.4084827e-06
k	1.6446826e-05	0.03935208	0.43860507	0.50109285	0.016046988	0.003468664	0.00059360353	0.00043034443	0.00021805768	4.105373e-05	2.7313874e-05	1.8121193e-05	1.3915894e-05	3.7793802e-06	7.169011e-05
a	0.0016403965	0.1947696	0.47753656	0.26730594	0.005774306	0.050398797	0.000331572	0.0017064902	0.0001221786	3.774931e-05	3.695596e-05	2.176166e-05	1.759458e-05	9.0726004e-05	0.00020923644
s	3.6770103e-05	0.010612493	0.20768863	0.7217565	0.047485773	0.0088172965	0.0017103325	0.0010403155	0.0005926801	9.402389e-05	5.952796e-05	2.6904843e-05	1.9727358e-05	3.6427514e-06	5.5295986e-05
ì	0.00047264426	0.03458144	0.18981351	0.6749086	0.024732066	0.06891187	0.001507577	0.0038615102	0.00043030156	0.00011944246	0.00010165974	4.654997e-05	3.6586825e-05	0.00016659616	0.0003096722
