 	ho	cosa	a	fare	</S>
è	0.78061295	0.20453335	0.012912194	0.00040855343	0.0015329999
c	0.03534692	0.9507804	0.013017904	0.0002560593	0.0005988407
h	0.011436196	0.37153044	0.0026376182	0.6132568	0.0011389302
o	0.047502145	0.8813656	0.020267146	0.050664566	0.0002006236
t	0.032965217	0.56192416	0.26157916	0.027731707	0.11579969
i	0.37511337	0.09303724	0.007519605	0.5228207	0.0015090931
k	0.0056442637	0.017096711	0.4789028	0.2811841	0.21717213
à	0.17383982	0.00241547	0.007852731	0.7705563	0.045335658
i	0.0006550811	0.0010494359	0.10437763	0.8023781	0.09153977
</S>	0.00432326	0.00017158668	0.009891579	0.43556	0.5500536
