 	che	vende	buon	pane	</S>
k	0.94131386	0.057011113	0.0015067902	4.0576775e-05	0.0001276013
a	0.2985362	0.7013277	0.00010047951	1.4953859e-05	2.0688505e-05
i	0.21466568	0.7703388	0.013702266	0.00076535303	0.0005279455
p	0.04799154	0.9396742	0.011411772	0.00017756384	0.0007449071
u	0.088719435	0.8464105	0.060148247	0.000440081	0.0042817015
l	0.022539966	0.96581274	0.011297025	0.00013838269	0.00021179285
ì	0.10825574	0.6647602	0.21466027	0.002191047	0.010132709
t	0.013940398	0.21371965	0.7219411	0.024002064	0.026396805
s	0.28194162	0.19834846	0.5144908	0.00024187316	0.004977291
o	0.19858478	0.77292275	0.028410846	7.077358e-05	1.0849062e-05
m	0.00016883115	0.0018888465	0.7485346	0.1384174	0.11099033
ì	0.1249018	0.023620127	0.8196613	0.0038014867	0.028015248
k	7.343611e-05	0.00072339346	0.36777288	0.4861076	0.14532268
a	0.20109272	0.030605912	0.2074839	0.045846917	0.51497054
l	0.00073366973	0.0036427532	0.10564582	0.55426484	0.33571294
ò	0.061259154	0.0022293366	0.16208851	0.09417389	0.68024915
</S>	0.00020819508	0.0012834402	0.016850468	0.7700142	0.21164365
