 	non	so	cosa	scrive	</S>
e	0.5625454	0.4131881	0.023522314	8.922436e-05	0.00065489067
n	0.17218016	0.78955233	0.034940682	0.0005854573	0.0027413769
e	0.04494365	0.89323133	0.0092969	0.049116153	0.0034118574
t	0.0041202586	0.63747394	0.35447657	0.0039136037	1.5616337e-05
s	0.009285209	0.9573899	0.028365063	0.004633968	0.000325799
è	0.0037125056	0.0519496	0.27371326	0.6696412	0.0009834258
r	0.0012899303	0.05769377	0.92237514	0.015678171	0.0029629334
o	0.23418589	0.4150274	0.29662454	0.041230496	0.012931656
t	0.0011786079	0.0020147297	0.8581935	0.027712217	0.110901
i	0.38152972	0.2593415	0.09992066	0.23970911	0.019499011
g	0.00046002344	0.0005262009	0.3294632	0.37515137	0.29439917
r	0.6552518	0.11333128	0.013126243	0.08645938	0.13183129
à	0.002167665	0.001479328	0.04424101	0.21104343	0.7410685
f	0.0004526053	0.00013005703	0.0031963957	0.8849746	0.111246385
i	0.0070097735	0.0044710133	0.0054115467	0.9376756	0.045432087
</S>	0.00055360596	0.0003579046	0.0039072833	0.32731223	0.667869
