 	vuole	vuole	mangiato	caldo	</S>
t	0.9987031	0.0011939711	5.457405e-05	6.526724e-06	4.178368e-05
è	0.8889715	0.110307954	0.00068187015	2.9653425e-05	8.980082e-06
l	0.96642625	0.032823958	0.00064242416	1.4032636e-05	9.330165e-05
i	0.74208254	0.25712347	0.0007925249	6.270439e-07	7.846606e-07
t	0.21333818	0.7510191	0.021400746	0.0009664884	0.013275587
è	0.048504956	0.93036664	0.020978725	6.9070564e-05	8.0477665e-05
l	0.00771157	0.8866047	0.093583144	0.0027919998	0.009308619
i	0.03894649	0.7916951	0.16917309	0.00013534601	4.98895e-05
f	0.0014047078	0.2105815	0.6363741	0.03611592	0.115523696
a	0.031085163	0.479745	0.48121956	0.0036938877	0.004256276
m	0.0010725381	0.049882248	0.81551147	0.09503634	0.038497336
è	0.009048886	0.07420082	0.82608587	0.060801264	0.029863209
n	0.00047794977	0.011450448	0.7269438	0.14726466	0.11386313
o	0.3549263	0.11199926	0.22608685	0.08218476	0.22480282
t	0.0011123226	0.0011319465	0.08499822	0.5594059	0.35335168
r	0.22951801	0.02320328	0.22778393	0.14331052	0.37618425
e	0.006734273	0.03321253	0.49204364	0.44830832	0.019701285
m	0.0004565155	0.00035097555	0.01033162	0.6133078	0.37555313
m	0.0064884904	0.0019300972	0.034297764	0.7476759	0.20960781
ò	0.006739723	0.0121255675	0.07406936	0.8651096	0.041955724
</S>	0.0043780464	0.00075461075	0.0012221076	0.12277235	0.87087286
