 	hai	già	mangiato	</S>
ì	0.9986854	0.0008498768	7.12163e-05	0.00039348195
s	0.99047196	0.009410618	6.998998e-05	4.7437145e-05
e	0.31363425	0.22602789	0.4581714	0.0021664992
g	0.18194424	0.8087649	0.0052675433	0.0040233308
i	0.25360867	0.5333764	0.21294737	6.7513625e-05
à	0.0020954148	0.9154491	0.07626842	0.0061870352
f	0.0016705386	0.2009849	0.78642267	0.01092186
a	0.011493396	0.03662442	0.94779754	0.0040846565
m	0.0002742655	0.008558093	0.7671659	0.22400168
è	0.014902551	0.0075582177	0.9305647	0.046974566
n	5.6951903e-05	0.0012904322	0.8917444	0.10690826
a	0.24473232	0.067068145	0.2274037	0.46079585
</S>	0.00038538556	0.0005586923	0.2825788	0.7164771
