 	non	ti	dimentichiamo	mai	</S>
e	0.75352985	0.24449143	0.001323125	7.0012866e-05	0.00058556575
s	0.24931091	0.7035619	0.033356857	0.0016044521	0.012165802
e	0.75775456	0.23133957	0.00090246403	9.9701785e-05	0.009903682
a	0.17854592	0.8207807	0.00058417185	5.936106e-06	8.328073e-05
l	0.056418154	0.9290863	0.009126553	0.00031782428	0.005051046
l	0.014448948	0.98089707	0.003041662	4.2025298e-05	0.0015704233
i	0.0027173192	0.99633527	0.000871198	4.776633e-06	7.144988e-05
m	0.0027179911	0.7528047	0.20030597	0.01274922	0.031422205
o	0.003044269	0.992769	0.0014265908	2.0559557e-05	0.002739573
n	0.0001963005	0.045112055	0.80245817	0.06841619	0.083817296
ù	0.08712799	0.8398003	0.017924659	0.0024701033	0.052677043
m	0.0008866011	0.067787156	0.64190394	0.14436062	0.1450617
e	0.69719344	0.03368248	0.09486221	0.0004286719	0.17383315
m	0.00016833816	0.0021012523	0.42722133	0.33873114	0.23177792
à	0.005082666	0.032413032	0.026217049	0.0031221926	0.9331651
i	6.445098e-05	0.0010910048	0.1579303	0.6406235	0.20029077
</S>	0.0016970374	0.004527822	0.03493812	0.49762017	0.46121687
