 	forse	sono	usciti	</S>
f	0.9976979	0.0018768171	2.5476607e-05	0.0003999005
ò	0.9828604	0.0040354934	0.013096651	7.395004e-06
r	0.9127802	0.08498656	0.0012132454	0.0010199548
s	0.8872353	0.09497676	0.017741708	4.618569e-05
i	0.8834487	0.04343368	0.073112205	5.3625195e-06
e	0.0018962008	0.88910455	0.020669317	0.088329926
g	0.009232633	0.11007735	0.77266335	0.10802663
g	0.09118774	0.8845276	0.015891535	0.0083930725
u	0.59675276	0.072915986	0.30868918	0.021642048
ì	0.0072413026	0.071845174	0.86448383	0.05642962
k	0.0008972874	0.0015875226	0.9951261	0.0023890429
a	0.009068706	0.40896764	0.528969	0.052994628
n	0.0023796645	0.0036275033	0.45453253	0.5394603
e	0.07989876	0.42096284	0.29937044	0.19976796
</S>	0.0036486504	0.0013908673	0.3881459	0.60681456
