 	è	possibile	che	è	entrato	da	qui	</S>
i	0.31304958	0.68444294	0.0019849455	0.0002356663	0.00010447581	0.00015330332	1.9805368e-06	2.7068625e-05
s	0.01570503	0.9710382	0.009389485	0.0016408976	0.0010949932	0.0006900433	0.00013500931	0.00030632343
o	0.067865305	0.915696	0.008398068	0.00060763065	0.0067799645	9.294097e-06	0.0006169067	2.6832135e-05
g	0.0070836595	0.9528707	0.036861725	0.0022574624	0.000755448	0.00014680887	1.0992484e-05	1.3183498e-05
g	0.009417887	0.9863209	0.0017049061	0.0001284708	0.0023223027	2.3916518e-05	5.9316295e-05	2.234816e-05
è	0.010393669	0.8977129	0.04243667	0.0096453	0.03841996	0.00042647924	0.0009595097	5.590366e-06
s	0.0043309596	0.90357757	0.06775043	0.013550057	0.008977222	0.0015040464	0.0002896432	2.0092475e-05
t	0.3980805	0.18775438	0.15277357	0.009046923	0.19430289	0.001776942	0.055956937	0.00030785677
e	0.067271344	0.6900019	0.13880314	0.012458756	0.08566783	0.00022401026	0.0055631176	9.92761e-06
k	0.0004798417	0.023647605	0.56914973	0.281154	0.03298889	0.068598256	0.00069098914	0.023290748
a	0.15131086	0.077378705	0.14955737	0.030814908	0.57301736	0.0018329525	0.015023216	0.0010646784
m	0.0005958245	0.016590437	0.18388529	0.3544753	0.14969611	0.2478365	0.0046037864	0.04231669
b	0.020435676	0.0028958586	0.057336416	0.029946674	0.87863624	0.004179287	0.0029204115	0.0036494755
ì	0.0037903031	0.035998385	0.015729968	0.003343108	0.83923113	0.0507181	0.05067328	0.0005158129
k	0.00019584394	0.019067273	0.009894943	0.056316707	0.048072778	0.7047552	0.0014224258	0.16027492
e	0.017120996	0.0028242916	0.0172389	0.013128409	0.53272235	0.11426497	0.27623963	0.026460469
a	0.0028514885	0.026144741	0.006114682	0.008193702	0.10403975	0.462933	0.1809223	0.2088003
p	0.018430242	0.04128787	0.0007683403	0.0023144796	0.17709154	0.0894971	0.60880274	0.061807636
ò	0.024222307	0.005976111	0.029212087	0.048751455	0.17114468	0.007143232	0.41655338	0.29699674
t	0.0022169389	0.01899051	0.00032696233	0.0004326296	0.0006990326	0.0005141093	0.010343849	0.9664759
t	0.008612036	0.00035385496	0.005431056	0.0029477188	0.01935985	0.020986518	0.86154956	0.08075956
u	0.09634942	0.010144216	0.007704605	0.00080500677	0.0017369252	0.00082901027	0.77144325	0.11098759
</S>	0.0019721892	0.15623857	0.0024410463	0.0021493072	0.0041465815	0.001428839	0.026442239	0.80518126
