 	lo	sentii	ee	che	arrivava	</S>
t	0.95158964	0.01707949	0.030993378	0.00023280695	6.503839e-06	9.825924e-05
o	0.9325565	0.011068733	0.055177014	0.00037996517	0.0005614006	0.00025633798
n	0.13737684	0.6856169	0.17579539	0.00083926984	6.525527e-05	0.00030626488
ì	0.009077915	0.009451455	0.9777966	0.0034442656	0.00018479594	4.499994e-05
k	0.009172593	0.19035453	0.79144114	0.008899312	0.000104670464	2.7838312e-05
u	0.39856118	0.000791231	0.59908545	0.0013560491	0.00020308336	2.9642101e-06
s	0.0005372808	0.0437448	0.927903	0.027068116	0.00037801327	0.0003689338
a	0.21162002	0.0027604925	0.69095397	0.031155266	0.05970249	0.0038078034
e	0.0002494191	0.04531647	0.38167775	0.45791996	0.007999536	0.106836885
e	0.0005370084	0.0038329558	0.024351463	0.7796214	0.11179794	0.079859234
k	0.001700446	0.0017315074	0.01345504	0.50305885	0.44803563	0.032018565
a	0.0057483097	0.0009526216	0.010906173	0.101059936	0.36916462	0.51216835
è	0.00012183072	0.0019068049	0.0016956482	0.09224849	0.82499135	0.07903587
s	0.00019656618	0.00016369521	0.0003550959	0.01855446	0.9161276	0.06460253
t	0.009772261	0.008600049	0.05581664	0.044283424	0.846992	0.034535673
a	0.02271284	0.025266843	0.022115083	0.01312243	0.87987995	0.03690286
z	0.00012403807	0.00047891794	0.00041352055	0.0037502595	0.51040316	0.48483008
z	0.006871154	0.0037123857	0.008886728	0.009380278	0.3627715	0.60837793
e	0.0016369652	0.0015146653	0.0032119085	0.050626907	0.8468025	0.09620704
</S>	0.0002827251	0.00032733407	0.0006349514	0.0028575757	0.22210373	0.7737937
