 	prima	di	andare	alla	scuola	</S>
p	0.94601303	0.052136417	0.0014468823	0.00031681708	1.1802229e-05	7.495935e-05
r	0.958054	0.036950275	0.0046477085	3.670322e-05	0.0003019126	9.376424e-06
ì	0.19290751	0.6512026	0.14738277	0.0075812903	0.0009194483	6.386945e-06
m	0.006385536	0.9061174	0.083069794	0.0035872972	2.748334e-05	0.0008126203
a	0.07515491	0.47699735	0.4458005	0.001270398	0.0007642317	1.254513e-05
n	0.0011362295	0.8291867	0.15144664	0.009856366	0.00014760705	0.008226428
a	0.16551268	0.1313328	0.6716808	0.004359903	0.026545532	0.0005681813
p	0.00039230584	0.059849083	0.80935514	0.120225444	0.0013089307	0.008869199
à	0.11956019	0.042471778	0.6893382	0.03820422	0.084028885	0.026396714
i	0.00032575513	0.008053675	0.6721177	0.29885435	0.0150464	0.005602022
s	0.026961837	0.0025120014	0.3063747	0.47973928	0.12585297	0.05855914
t	0.0020416486	0.03469887	0.30358213	0.21224494	0.42436484	0.023067629
i	0.0014310676	0.016669009	0.13358086	0.65727115	0.19064513	0.0004027752
s	0.00051351095	0.0009413286	0.008718109	0.5763349	0.26079142	0.15270072
k	0.0033230102	0.018030463	0.035518315	0.2961865	0.49010128	0.15684041
ò	0.002064881	0.006441705	0.039380543	0.07367055	0.87335736	0.0050849775
l	0.0019031361	0.0015215168	0.005170474	0.10998622	0.54569495	0.3357237
a	0.0013316307	0.010652604	0.011887545	0.031120963	0.9383142	0.006693044
</S>	0.0013859464	0.0016022219	0.0026042168	0.008962584	0.38602853	0.59941643
