 	credo	che	stanno	ancora	svegli	</S>
p	0.9825462	0.0163621	0.0009479529	8.5148195e-06	2.2472798e-06	0.00013311292
i	0.9856652	0.012768733	0.0015638776	1.3559669e-06	1.9224402e-07	4.924489e-07
s	0.6973829	0.2883749	0.013551972	0.00011672106	0.00046946268	0.00010397298
t	0.9289675	0.050652422	0.020209307	5.933937e-05	5.234257e-06	0.00010623933
è	0.48163655	0.34343955	0.17466992	0.00024323336	8.239168e-06	2.5034926e-06
o	0.008028173	0.8293053	0.16016735	0.00060205325	0.0007084969	0.0011885521
k	0.0059618955	0.48157987	0.34043032	0.13808225	0.027062828	0.006882768
a	0.04321269	0.10882757	0.84297055	0.0008300906	3.571636e-05	0.0041235085
s	0.00020487736	0.06883907	0.87042	0.016006675	0.034753967	0.009775472
t	0.0038938522	0.07538944	0.87897146	0.0266437	0.0002495241	0.014852063
è	0.0009979527	0.030014738	0.96223974	0.0065000104	0.00016418887	8.343047e-05
o	9.589851e-05	0.0074432096	0.91349447	0.042474408	0.01815464	0.018337302
n	0.00029798876	0.0012854388	0.09043205	0.6710825	0.22946087	0.007441103
e	0.014828455	0.043573093	0.8180836	0.055190265	0.0010217997	0.06730266
a	0.00013218123	0.00071922975	0.013148797	0.37970564	0.602372	0.003922091
n	0.0010265602	0.00044829393	0.009499682	0.85205585	0.13391511	0.0030544717
k	0.051074006	0.016564673	0.06403108	0.019393709	0.0012087815	0.8477277
ò	0.0045582247	0.17120034	0.42152268	0.111833885	0.21574776	0.075137116
r	0.00035089478	0.0011396379	0.00089367817	0.18647288	0.8064372	0.0047057276
a	0.0030297856	0.0073425076	0.061492868	0.14780727	0.60498476	0.17534277
a	0.00026972935	0.00074746687	0.0019829054	0.017958812	0.8559398	0.12310132
t	0.008410683	0.0035273726	0.003030424	0.073720224	0.7730217	0.13828962
s	0.026597515	0.016632518	0.032957774	0.041760296	0.063380785	0.81867117
ù	0.0373942	0.04984267	0.10094899	0.10857352	0.07293282	0.63030785
n	0.006066307	0.010865451	0.012804455	0.024195787	0.4274047	0.5186633
n	0.055448756	0.036358323	0.039003402	0.15582885	0.009976531	0.70338416
i	0.10340779	0.610177	0.14302507	0.09744525	0.0072457264	0.038699258
t	0.0035335198	0.004701138	0.01931787	0.012634342	0.063470826	0.89634234
i	0.31200773	0.21710011	0.24367416	0.015594239	0.0041141817	0.20750953
</S>	0.0108469585	0.013687592	0.037244104	0.01566988	0.090021335	0.83253014
