 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.9368983	0.062623166	0.00042998235	1.0713349e-05	9.763746e-06	2.8189948e-05
c	0.66833496	0.3298533	0.0017982252	3.3570734e-06	9.057013e-06	1.2005042e-06
h	0.20944639	0.7748478	0.012167662	3.1798718e-05	0.0035047343	1.5505934e-06
e	0.54100245	0.4571487	0.0018298987	2.7592844e-06	1.6094755e-05	6.879575e-08
p	0.063247174	0.8882086	0.04434107	0.0008527298	0.0003000521	0.0030504127
o	0.10124737	0.7290325	0.045629017	0.0062530627	0.11776097	7.710978e-05
l	0.0038773136	0.80120134	0.1909101	0.002853078	0.00033153934	0.00082654355
e	0.0028167453	0.7437254	0.24393739	0.0008759291	0.008358039	0.00028634063
m	0.0001935748	0.12905273	0.841216	0.023983253	0.0007875025	0.0047669676
ì	0.0018183615	0.20113842	0.77268577	0.007788908	0.0149575025	0.0016110565
s	2.7429282e-05	0.01825085	0.9485335	0.027818885	0.0006521674	0.0047170734
o	0.00038228347	0.020209473	0.91701543	0.046399876	0.015975412	1.7439632e-05
n	0.0001829887	0.0023736549	0.6790195	0.2780625	0.02101184	0.019349517
t	0.0027210803	0.0091891	0.86148477	0.06849235	0.052913025	0.0051997276
a	0.000106537445	0.0038463497	0.88659376	0.09283371	0.016560031	5.9540682e-05
ò	0.00020378745	0.0004459015	0.23209688	0.6666057	0.06987669	0.030771004
l	0.0009352881	0.0025530064	0.52633125	0.25871676	0.20171945	0.0097442465
i	0.0005647468	0.00047673448	0.30800027	0.5405325	0.15037055	5.5136494e-05
t	0.00032246092	0.00036197389	0.010877791	0.6925798	0.20134397	0.09451397
i	0.0062435837	0.0006218649	0.05727942	0.554926	0.36570913	0.0152199725
n	0.00030730705	0.00059796585	0.005739366	0.3902685	0.5262662	0.07682069
a	0.04550783	0.002767418	0.025536157	0.21892852	0.64142126	0.065838784
d	0.0014140087	0.0013640198	0.006795736	0.17914084	0.6707302	0.14055528
d	0.02404356	0.0016318168	0.0082367575	0.031708166	0.9099739	0.024405805
o	0.0020254059	0.0033556782	0.020198189	0.091802284	0.8629556	0.019662958
m	0.0077569606	0.005069626	0.003690828	0.011179718	0.49039692	0.48190603
à	0.033844266	0.0041825543	0.013028729	0.060216133	0.8379497	0.05077858
d	0.00017594446	0.00081339444	0.0017756989	0.015388746	0.9035994	0.078246854
a	0.14676183	0.0014490922	0.0017857708	0.0038181096	0.6015068	0.24467833
</S>	0.0022880363	0.0022293308	0.0024864434	0.00359148	0.070614256	0.9187904
