 	che	consuma	poco	benzina	</S>
n	0.9833899	0.015348948	0.0010145097	5.3914046e-05	0.00019269672
a	0.8995483	0.03971454	0.014972873	0.045589473	0.00017489376
k	0.07808358	0.8699604	0.050315343	0.00059527444	0.0010454204
o	0.8701996	0.02444396	0.04525095	0.057795882	0.002309587
n	0.012841567	0.68674946	0.29246554	0.0029665113	0.00497691
s	0.71023995	0.004688793	0.13715658	0.1414965	0.006418166
u	0.025401302	0.038672384	0.90286034	0.032979243	8.6734035e-05
m	0.0007006633	0.07117847	0.8496822	0.042819917	0.035618708
è	0.17499352	0.0032056973	0.3907554	0.42264292	0.008402448
t	0.00017485696	0.017228434	0.9222764	0.029837258	0.030483166
s	0.0200126	0.0022826593	0.5452657	0.4321341	0.00030493314
i	0.030817062	0.03312216	0.77605087	0.15967104	0.00033880232
a	0.0007126573	0.015996888	0.0992685	0.6821402	0.20188177
l	0.003417139	0.0077191624	0.027827904	0.8447215	0.1163143
ì	0.024084676	0.000998742	0.015477753	0.9486198	0.01081903
o	0.00033596266	0.0032530664	0.00262702	0.9504384	0.043345626
b	0.0044332165	0.0011154569	0.000813298	0.7788608	0.21477726
e	0.039801896	0.0020806794	0.004170554	0.9338584	0.020088531
n	0.0010128669	0.0021065613	0.0011288979	0.66025615	0.33549553
z	0.053439554	0.0075239944	0.003217104	0.83741933	0.09840002
ì	0.0069509023	0.006053992	0.0070061204	0.95453626	0.025452709
n	0.0049105478	0.0019215822	0.0018684281	0.13535857	0.8559408
a	0.017789584	0.01855348	0.013845057	0.8439127	0.105899185
</S>	0.0013649181	0.0011741042	0.0017988454	0.01092088	0.9847413
