 	devo	pulire	l'	albero	</S>
è	0.94402575	0.0529027	0.0010726465	0.0011200473	0.0008788305
n	0.3997817	0.59616715	0.0024080463	0.0010931623	0.0005499156
a	0.2891261	0.23826702	0.011548257	0.44611076	0.014947899
k	0.16768847	0.7797729	0.047799665	0.0031659822	0.0015729903
a	0.06994047	0.7593324	0.011309688	0.1579493	0.0014680696
t	0.025373783	0.45779303	0.47407794	0.01778077	0.02497439
à	0.07348922	0.3018894	0.04481687	0.561883	0.01792153
r	0.0038318879	0.17770888	0.75694966	0.051114447	0.010395014
o	0.08834996	0.07775683	0.11721497	0.7147129	0.001965318
t	0.0006208477	0.006302182	0.9330763	0.006106619	0.053893987
o	0.035801716	0.0257691	0.055033665	0.8776128	0.005782622
n	0.000642376	0.0018538312	0.825491	0.03372073	0.13829212
à	0.06677084	0.0080852695	0.009922259	0.87880695	0.036414664
r	0.004460747	0.0065715094	0.59188986	0.2623592	0.13471863
b	0.00454888	0.0027234838	0.0157167	0.96658486	0.010426087
u	0.22989435	0.31618255	0.13407247	0.2654435	0.05440714
r	0.0016146008	0.0013239749	0.012163262	0.22232163	0.7625765
o	0.05313144	0.041513234	0.045099076	0.56910014	0.2911561
</S>	0.0013273552	0.0011281313	0.004514066	0.20042054	0.7926099
