 	ha	che	sono	usciti	</S>
è	0.93991166	0.05565673	0.0031656995	9.656988e-05	0.0011693568
n	0.48266968	0.5057816	0.009374079	0.0004487316	0.0017259548
a	0.05724321	0.012662252	0.012141581	0.91171265	0.0062403763
g	0.0638693	0.5279587	0.19497268	0.19408737	0.019111942
u	0.23055694	0.65836334	0.08912044	0.021933017	2.6176622e-05
ì	0.014421646	0.075921774	0.48224244	0.39990073	0.027513446
k	0.003625428	0.010416821	0.016522517	0.9651991	0.0042361706
a	0.09329906	0.026459338	0.26059073	0.6103456	0.009305221
n	0.0015928601	0.0041558044	0.15128493	0.43546727	0.40749916
e	0.18505608	0.05234	0.13797186	0.60326946	0.021362647
</S>	0.0014210914	0.0010264702	0.013394578	0.5716184	0.41253948
