 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.85252994	0.14617707	0.00085583393	0.0003030792	0.00010810039	7.125494e-06	1.8935669e-05
m	0.3868759	0.6109777	0.0014578088	0.000507225	0.00010159472	2.3606222e-05	5.6241362e-05
à	0.95070386	0.045374017	0.003878381	7.719034e-06	7.955447e-06	2.736981e-06	2.5347324e-05
k	0.055437118	0.9223192	0.021641865	0.0004927145	9.630066e-05	2.946811e-06	9.857284e-06
i	0.53284836	0.39007095	0.07682136	0.00024865218	8.375429e-06	3.8572963e-07	1.8303557e-06
n	0.0012238923	0.8958229	0.09693117	0.003987583	0.0010686157	7.338443e-05	0.0008924494
a	0.2718104	0.275023	0.4448738	0.0057935943	0.0013066834	0.00024209694	0.00095030345
t	0.00038077027	0.1374476	0.83781856	0.01736873	0.005643815	0.00024152896	0.0010991358
è	0.0281119	0.064039536	0.8884002	0.008631367	0.0039594686	0.00074055867	0.00611688
l	5.201266e-05	0.020779127	0.9515021	0.017814048	0.008159027	0.0006093595	0.0010843413
i	0.004559108	0.04807525	0.943596	0.0034726793	0.00024768573	9.918773e-06	3.9404124e-05
s	0.00013602387	0.0040161083	0.7540901	0.13887817	0.07930939	0.006848006	0.01672231
t	0.01203838	0.06127242	0.9049332	0.009782034	0.0082207825	0.00062759296	0.0031254808
i	0.0058291187	0.010676637	0.9639203	0.015061154	0.004298577	0.00011990542	9.4389354e-05
a	0.00020696508	0.0008717283	0.15963474	0.24194929	0.49235514	0.051712047	0.053270105
m	0.014277711	0.0015842924	0.04495306	0.4259217	0.41244066	0.05153869	0.049283918
m	0.026672095	0.18486127	0.47414684	0.020840332	0.24939089	0.0134955235	0.03059311
è	0.015482281	0.004406367	0.1732013	0.021311326	0.76727945	0.013413277	0.004906122
n	0.00029671527	0.00016093897	0.0034268324	0.02996244	0.5844504	0.25500372	0.12669896
i	0.024594177	0.11979326	0.8402053	0.001225825	0.00907629	0.0019546025	0.0031503972
a	0.0014713004	0.0013666132	0.0132633345	0.026764415	0.38960013	0.3929774	0.17455679
t	0.07162298	0.0016380593	0.0026655404	0.013624356	0.22923398	0.35066652	0.3305485
t	0.065264024	0.03821468	0.038435988	0.0034350385	0.37450123	0.18953054	0.2906185
o	0.014048572	0.0035391785	0.04860654	0.032047324	0.46172932	0.27927336	0.16075574
m	0.0033623108	0.0004906779	0.0063370946	0.0043029757	0.021793287	0.5620355	0.40167814
e	0.06414282	0.02109085	0.01747642	0.0034330555	0.21530078	0.2254532	0.4531029
k	0.0014240646	0.00041700638	0.0057092104	0.007123624	0.017071478	0.6501837	0.31807095
k	0.057085734	0.023670657	0.01482992	0.0007922539	0.009281676	0.21618088	0.6781589
à	0.010077183	0.0008746349	0.0070257583	0.004660773	0.0082354	0.17430648	0.79481983
n	0.00511848	0.0011404133	0.010014729	0.0015241655	0.0016767491	0.3322789	0.6482465
i	0.049586684	0.048729908	0.2986738	0.0059542703	0.0060944795	0.28299314	0.30796772
k	0.0023920448	0.0011623392	0.01967337	0.0035176342	0.0017003892	0.19741811	0.7741361
o	0.14840673	0.052563053	0.10547017	0.0042975415	0.0036577643	0.11630905	0.56929564
</S>	0.0034223276	0.00082256534	0.013581982	0.002116894	0.00094882684	0.12923141	0.849876
