 	deve	essere	bianco	</S>
è	0.93347657	0.056356754	0.004968325	0.005198454
n	0.96824694	0.030008882	0.0008790294	0.0008650684
a	0.022211025	0.9678944	0.0024374991	0.0074571217
è	0.82614833	0.15988383	0.010668883	0.0032988796
n	0.78339076	0.1755456	0.0127624655	0.028301116
e	0.016292067	0.9679815	0.00468181	0.011044652
à	0.25552073	0.31490165	0.21962646	0.20995119
s	0.38690025	0.26321587	0.078153834	0.27173
p	0.05958328	0.7973223	0.102732114	0.040362343
r	0.6746852	0.27440318	0.03413995	0.01677173
o	0.14835413	0.021001767	0.8042344	0.02640977
</S>	0.0034110735	0.008031752	0.08947536	0.8990818
