 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.61126024	0.38279715	0.005654446	0.00019206267	3.2566637e-05	8.993347e-06	1.7070772e-05	3.7455207e-05
t	0.20189357	0.77932984	0.015024467	0.0022965937	0.0005136787	0.00028848913	0.0003110575	0.00034228465
è	0.018678674	0.8682572	0.09557044	0.015291968	0.00050583563	1.0968342e-05	0.0016788008	6.025381e-06
l	0.0397088	0.9297827	0.02931946	0.00095757865	0.00020440875	1.5030722e-05	5.606017e-06	6.4208857e-06
i	0.020814661	0.87569463	0.09102306	0.010658507	0.00024830317	8.476646e-06	0.0015519806	4.2966175e-07
f	0.021640934	0.7631963	0.20162773	0.008512953	0.0026503194	0.00019725924	0.00023690215	0.0019376139
a	0.009041284	0.38903514	0.5571356	0.042283688	0.00063953135	1.5099915e-05	0.0017783889	7.1249546e-05
m	0.0011965861	0.08347023	0.8552264	0.048362914	0.010286944	0.0006112601	0.00019023125	0.0006553387
o	0.01341264	0.09803721	0.7562151	0.12010316	0.007224348	0.00014820918	0.0039770287	0.0008822865
n	0.0001915515	0.0060729254	0.83978623	0.116035946	0.035607133	0.0006315957	0.00010726043	0.0015673666
o	0.07382321	0.07110125	0.5434349	0.25344157	0.032787904	0.0012739865	0.020390542	0.0037465624
f	0.00017781892	0.000566546	0.49008808	0.4279437	0.074676506	0.004775869	0.0011898774	0.0005817029
a	0.01502864	0.015722046	0.41159493	0.46184474	0.070933476	0.0014584349	0.017639495	0.005778127
m	9.045161e-05	0.0002899285	0.16741209	0.6549061	0.16433896	0.010493401	0.0014573883	0.0010117023
è	0.00522375	0.0030816938	0.13214135	0.52546966	0.30858818	0.006888052	0.01241133	0.006195996
n	1.3955973e-05	8.0912716e-05	0.039640717	0.51796293	0.4282192	0.011139138	0.00095400016	0.0019891209
o	0.10366566	0.010653467	0.06268931	0.36401966	0.36628905	0.024505353	0.06664318	0.0015343374
o	0.0001340792	0.00018044961	0.0033668214	0.14982575	0.73423606	0.08370829	0.017923541	0.0106250085
l	0.00036138666	0.00017440137	0.0014125562	0.08487884	0.46460888	0.3174317	0.09774637	0.0333859
i	0.0020331142	0.00069970195	0.004782507	0.05706099	0.79674447	0.076176375	0.03897122	0.023531571
m	6.875185e-05	8.330644e-05	0.0005776851	0.021882115	0.78290075	0.14427961	0.044889104	0.0053186216
i	0.0009989835	0.00038418022	0.0016006533	0.015321162	0.8061209	0.12484431	0.0334907	0.017239066
a	4.6805766e-05	0.00019945556	0.0007781517	0.010225129	0.5949986	0.22306652	0.15198022	0.018705122
f	0.0007847192	0.00020355484	0.00017158102	0.0010421182	0.05247201	0.31602904	0.60448414	0.024812724
o	0.002398639	0.00079466566	0.0017909246	0.005326813	0.436163	0.23384951	0.2896462	0.030030178
r	0.0007192867	0.00045206965	0.0010063325	0.0021132482	0.0730351	0.33054173	0.51778936	0.07434285
à	0.0016705967	0.0010504341	0.0017274927	0.0051384564	0.208083	0.18067722	0.44614702	0.15550575
</S>	0.00018819109	0.0002787152	0.0006189951	0.0009875302	0.009802465	0.04831128	0.8369898	0.10282301
