 	Marika	è	che	si	sposa	domani	</S>
M	0.990686	0.0041946364	0.0036497072	0.0008065434	0.00030290944	7.451009e-05	0.00028573372
a	0.81274146	0.040219214	0.06606442	0.025136806	0.012091637	0.04230498	0.0014413579
r	0.94104975	0.02294496	0.034111537	0.0015173432	0.00024694882	0.000120165045	9.2494465e-06
ì	0.025801206	0.24448752	0.6798675	0.039486762	0.0073549175	0.0014941795	0.0015079125
k	0.03183049	0.5770071	0.30442438	0.06197007	0.005321791	0.005045682	0.014400491
a	0.0031689059	0.019270418	0.5234173	0.4020799	0.035639416	0.016315527	0.00010856478
è	0.01145431	0.36936182	0.33270517	0.19860038	0.018519083	0.017925456	0.05143384
n	0.0014503426	0.035194844	0.7950046	0.09737042	0.029800996	0.03389666	0.0072821095
a	0.008297141	0.0021627867	0.012191	0.19727756	0.03940315	0.7390797	0.0015886255
r	0.0066159684	0.02415566	0.05469508	0.51341915	0.28843376	0.090324104	0.022356255
m	0.0020277747	0.068487935	0.34414703	0.15835066	0.3091492	0.041058585	0.07677878
a	0.008662403	0.059675403	0.10362517	0.21374874	0.6016358	0.0087934965	0.0038589917
s	0.0016778316	0.01751879	0.0064058006	0.040761046	0.48958573	0.28400293	0.16004789
t	0.0026744464	0.10831845	0.15307695	0.03627032	0.38670397	0.13121715	0.18173866
ì	0.0006435287	0.07190161	0.07675388	0.07786357	0.7355314	0.027792715	0.009513301
à	0.0012926407	0.008903427	0.005961748	0.004828887	0.184232	0.6400251	0.15475617
v	6.00388e-05	0.0002689775	0.00021751676	0.00016856004	0.01618702	0.975549	0.007548886
v	0.00012457014	0.000679284	8.933065e-05	0.00048051702	0.0030238694	0.9691316	0.02647088
r	0.0055629867	0.03748333	0.0027643272	0.021336999	0.051627345	0.85806865	0.023156365
i	0.09512161	0.13482706	0.16406256	0.16229783	0.26320297	0.0724306	0.10805738
</S>	0.0048424527	0.008534971	0.011069573	0.0006183912	0.0010507698	0.26629204	0.70759183
