 	se	vieni	alle	sette	io	sto	cucinando	</S>
a	0.92310715	0.06792763	0.0032099087	0.005559562	3.967293e-05	0.000107265754	1.1457578e-05	3.7249476e-05
n	0.21665385	0.7484055	0.01227732	0.017374242	0.003719685	0.0006036202	0.00033353103	0.000632255
è	0.011492766	0.96291333	0.018588856	0.0048619295	0.0012544224	1.1958777e-05	0.00085329445	2.3430923e-05
r	0.025918018	0.9348751	0.014673933	0.023142936	0.0012581227	0.00010554355	2.5453126e-05	9.0778894e-07
t	0.2007467	0.311086	0.36620858	0.06702667	0.040278796	0.001217062	0.013415636	2.0549687e-05
i	0.009703154	0.96209705	0.024969539	0.00071399094	0.0024152666	9.236311e-06	9.127185e-05	4.6422383e-07
s	0.0014891298	0.046536155	0.3649068	0.5778148	0.0049179094	0.0028919766	4.4552784e-05	0.0013986679
t	0.1508338	0.18397912	0.58642	0.029717518	0.03652021	0.0052015847	0.0067055556	0.00062226
e	0.014139903	0.4808688	0.092918895	0.021597872	0.37735763	0.007891309	0.0052233865	2.2451204e-06
s	0.00013402954	0.00513925	0.14249964	0.7894385	0.032262947	0.022476058	0.00020237028	0.007847305
e	0.017580846	0.026128769	0.78361773	0.08242022	0.018842515	0.06386234	0.004237431	0.003310176
t	0.0001276499	0.0045227106	0.042875778	0.6968884	0.12084199	0.12285932	0.0008596977	0.011024436
t	0.009029286	0.013667742	0.34544793	0.09212046	0.049763698	0.45182315	0.017568015	0.020579685
à	0.0010625822	0.0061030495	0.014199465	0.028097894	0.26828167	0.6481748	0.03381707	0.0002634146
e	0.00017047324	0.01590412	0.010091656	0.12945415	0.34931967	0.4408674	0.006108664	0.04808389
v	0.0023577574	0.008184156	0.0011630328	0.0021238036	0.6010633	0.18776597	0.19224077	0.0051011476
ò	0.033948597	0.023987804	0.11233309	0.004103	0.07184372	0.4384456	0.25502798	0.060310245
s	0.0031711021	0.007470531	0.0027594478	0.0008282078	0.08387275	0.45635355	0.42350954	0.022034867
t	0.00010142914	0.00011749255	0.0007434424	0.0013477533	0.030390447	0.76501936	0.20181705	0.00046306805
e	0.017883234	0.062115487	0.008462839	0.0019891162	0.04474509	0.12634698	0.7352488	0.003208413
m	0.00066202605	0.009414099	0.0047664964	0.0009864408	0.004564831	0.11255831	0.7055472	0.16150057
a	0.0023075757	0.0024995652	0.0053202785	0.0034688073	0.0038512943	0.4178805	0.5401673	0.024504727
r	0.00021619337	0.00825658	0.0025993444	0.00029393664	0.0011424627	0.018653395	0.87829924	0.090538904
è	0.0016751208	0.006550306	0.017301828	0.0016499032	0.0005052745	0.056676906	0.57074577	0.3448949
o	0.0001355096	0.0038269078	0.0016033946	9.2193775e-05	0.00021246703	0.0018969334	0.9152965	0.07693617
</S>	0.012350975	0.05196895	0.014699729	7.5858035e-05	0.0001930819	0.0007687497	0.6473068	0.27263588
