 	ancora	non	mi	sono	vestito	</S>
a	0.9846815	0.0008972323	0.0028452282	0.010423017	0.00016011516	0.0009928838
n	0.9694538	0.01725822	0.003731286	0.0047804452	0.0005737489	0.004202343
k	0.8259071	0.09827439	0.0005901816	0.04812594	0.0016131529	0.025489233
ò	0.01777017	0.0069608367	0.001021696	0.9725074	0.00044398403	0.0012958396
r	0.21847518	0.5152222	0.033840068	0.2161094	0.005565315	0.010787821
a	0.30858785	0.1223679	0.00037870696	0.5571524	0.007657938	0.0038551618
e	0.019556833	0.16329934	0.19453406	0.43742594	0.021351855	0.16383193
n	0.05578283	0.61177397	0.048119176	0.17004436	0.032672953	0.08160671
e	0.15139051	0.0038082297	0.0007289555	0.82204276	0.002301471	0.019727943
n	0.014543389	0.10638286	0.1976835	0.3768711	0.2655967	0.038922448
d	0.07919808	0.007858785	0.0012106607	0.81896156	0.024476435	0.06829436
ì	0.008530619	0.0017636173	0.00088895444	0.93829745	0.046273496	0.0042459643
s	0.023820437	0.022387197	0.2173442	0.062074285	0.44674507	0.2276288
i	0.016377896	0.0055867606	0.00018174133	0.9040068	0.045198612	0.028648263
m	0.0010128864	0.0032168655	0.04560738	0.010152349	0.23353975	0.7064707
o	0.22920899	0.0535023	0.00093236845	0.3069974	0.17733227	0.2320267
</S>	0.001347439	0.0026301316	0.013548554	0.00738279	0.15925567	0.8158354
