 	le	ragazze	vogliono	guardate	</S>
t	0.99855083	0.0013955091	2.3301101e-05	4.363903e-06	2.5953039e-05
a	0.45784175	0.48297948	0.059098817	6.346804e-05	1.6448697e-05
k	0.82148314	0.17787145	0.00044023292	2.3060988e-05	0.00018217196
o	0.5018736	0.4762291	0.02174314	3.553031e-05	0.00011861703
r	0.06454185	0.9326514	0.0022038308	0.00014447197	0.00045848687
à	0.088064365	0.72878045	0.17399634	0.006283151	0.002875772
s	0.012713947	0.885463	0.07739527	0.0050620455	0.019365791
i	0.05239479	0.21071286	0.73663807	0.00020539001	4.8868875e-05
a	0.0066511473	0.30109945	0.40024066	0.039408963	0.25259972
t	0.00089073274	0.019884985	0.8710538	0.04477438	0.06339602
è	0.009133163	0.0061599016	0.98141474	0.001277403	0.0020147022
l	0.0015278242	0.030131534	0.8579906	0.09446736	0.015882587
o	0.01779893	0.0034103133	0.97534466	0.003213258	0.00023280093
n	0.0017911724	0.001065887	0.2674662	0.41474134	0.3149354
e	0.12494332	0.00430518	0.8469673	0.01543542	0.008348786
k	0.0011441248	0.0008602432	0.06863422	0.82113296	0.10822847
a	0.09799978	0.0019979603	0.50171196	0.25257012	0.14572012
n	0.0016791511	0.0010625114	0.01065855	0.8336544	0.15294537
o	0.37206388	0.0034930354	0.20073445	0.17505702	0.24865168
n	0.0023119645	0.0017715613	0.0020780186	0.7803201	0.21351835
i	0.38557342	0.0020092954	0.09810881	0.21254879	0.30175966
m	0.005086616	0.0036863934	0.0016555423	0.44031087	0.54926056
m	0.18035543	0.00048473998	0.04202554	0.29422173	0.4829126
è	0.039305083	0.005967009	0.02264838	0.5079516	0.42412785
n	0.0041882154	0.002140936	0.0015223032	0.0877903	0.9043582
a	0.17582673	0.04703126	0.0745301	0.016907845	0.68570405
</S>	0.0032578649	0.0020745331	0.0026005814	0.07810112	0.9139659
