 	qui	dentro	vuole	un	tappeto	</S>
e	0.93445987	0.06524617	0.00024572446	6.73911e-06	2.0627901e-06	3.9422994e-05
t	0.6007747	0.39608422	0.0023399533	0.0005420742	4.8086637e-05	0.00021093892
t	0.8170383	0.13587022	0.045987364	0.000950041	0.00010108596	5.3012634e-05
ù	0.73094577	0.08204708	0.18009272	0.006376577	0.00052682776	1.1021305e-05
m	0.019359918	0.9549704	0.02476844	0.0003227311	2.333516e-05	0.0005551471
è	0.17921652	0.053436168	0.7552212	0.011898316	0.0002064954	2.1344857e-05
s	0.0012385361	0.9124589	0.036371235	0.0006572335	0.0003513837	0.048922777
a	0.012331167	0.044210214	0.936244	0.006882496	0.00029286504	3.9292267e-05
t	0.00078210275	0.042457234	0.8175648	0.10294415	0.004383573	0.03186819
è	0.0036647536	0.023791915	0.9400774	0.02206749	0.0020261402	0.00837218
l	0.00014625095	0.002189247	0.90529996	0.066872455	0.0056987586	0.019793443
i	0.0013964337	0.0021546285	0.93674064	0.054572206	0.0047831642	0.00035285074
è	0.0006920331	0.0019237255	0.15485857	0.646531	0.08213028	0.11386441
n	0.0015890037	0.000989515	0.09141402	0.7827746	0.091089465	0.032143343
a	0.09018865	0.0092852125	0.15618923	0.5524371	0.08415031	0.10774945
t	0.0010491599	0.0015190289	0.007893029	0.38336155	0.40965876	0.19651845
a	0.029736126	0.0115493145	0.042101458	0.13584797	0.4167203	0.3640448
p	0.0010354724	0.0007563832	0.0034882135	0.12388372	0.73427856	0.13655768
p	0.034514774	0.0059968187	0.027315948	0.021278206	0.51320374	0.39769047
è	0.0007849977	5.0066537e-05	0.025795197	0.004693732	0.95963025	0.009045679
t	0.0014234114	0.00031336938	0.0014353651	0.022018882	0.877	0.09780899
o	0.022456115	0.0039477013	0.012777671	0.048223414	0.8970727	0.015522495
</S>	0.0022814241	0.0028809498	0.002780315	0.003298552	0.16786966	0.82088906
