 	quando	è	arrivato	Giovanni	Anna	stava	e	dormiva	</S>
m	0.9981718	0.0015991573	0.00022641271	1.4922155e-06	2.64691e-07	1.8183066e-07	2.5015504e-07	7.6914155e-08	3.9980034e-07
ò	0.9968964	0.0001452865	0.0028196143	0.00012613661	9.441301e-06	4.7900033e-07	5.649633e-08	2.485527e-06	7.30523e-08
t	0.9811918	0.01695408	0.0018257223	2.0012441e-05	5.668862e-06	1.3086279e-06	3.1726293e-07	3.850233e-07	7.3332785e-07
t	0.9201531	0.0046084654	0.05348925	0.018967157	0.0025701933	6.522809e-05	2.4841344e-07	0.00014640631	3.746364e-08
i	0.9271353	0.004904234	0.06571462	0.00219385	4.659546e-05	1.1079532e-06	1.5801955e-07	4.1229177e-06	1.1368015e-08
è	0.15809676	0.7506112	0.088459976	0.0018265231	0.00038004728	7.303026e-05	5.9780905e-05	2.2149123e-05	0.0004705407
t	0.05747033	0.5346772	0.40145013	0.004723973	0.0012722346	0.00010318779	8.957453e-05	7.708603e-06	0.00020559375
t	0.009274691	0.049422063	0.76864195	0.12245991	0.04552236	0.002861448	4.735233e-06	0.0018123669	4.0840717e-07
a	0.019864703	0.010038477	0.9391004	0.029729769	0.001193902	1.6840158e-05	5.290137e-07	5.537818e-05	5.1239862e-08
s	0.004643556	0.12401631	0.8417866	0.022169536	0.004024527	0.0010752956	0.000618494	8.5713604e-05	0.0015799921
e	0.0065962155	0.051285543	0.83233106	0.083830446	0.023798373	0.0007614553	5.937471e-06	0.0013725586	1.838069e-05
o	0.001319801	0.014247492	0.9329887	0.038631458	0.007163467	0.002516644	0.0014290669	9.47569e-05	0.0016086152
G	0.0024935063	0.0020262022	0.44643137	0.42440403	0.0795344	0.02339924	0.019586954	0.0006990217	0.0014253197
i	0.00093032874	0.02935697	0.774006	0.12298296	0.06431629	0.0056426646	0.0004718928	0.0018312631	0.00046167168
o	0.0019268123	0.0019755024	0.5032504	0.38966903	0.06780443	0.019115353	0.01456604	0.00056313304	0.0011292922
v	0.0010979079	0.00015746382	0.09371861	0.61184144	0.20837107	0.045574706	0.036835317	0.0013622153	0.0010412404
à	0.016266422	0.05221524	0.107361175	0.4111729	0.3577161	0.04125667	0.0010256262	0.008993157	0.00399276
n	0.0008110085	0.0002713832	0.037523013	0.6216988	0.26064533	0.07033647	0.0066089267	0.0017975977	0.0003074455
n	0.00039518936	0.0054282625	0.028060282	0.38432524	0.3442094	0.21164446	0.00045138216	0.025468653	1.7089544e-05
i	0.008782176	0.004521425	0.057232775	0.74447477	0.17334485	0.00896572	5.579741e-05	0.0026181866	4.2457195e-06
e	0.0020123487	0.0011650629	0.007246272	0.19243224	0.34189656	0.24350727	0.18764658	0.0031448167	0.020948825
A	0.0017793378	0.00021399633	0.006379825	0.23805062	0.47518387	0.14362636	0.12616809	0.004880461	0.0037174313
n	8.1841186e-05	7.370959e-05	0.003980068	0.5958016	0.37509316	0.017998857	0.0052453387	0.0015952316	0.00013018814
n	0.031195639	0.0037274775	0.019618997	0.13122468	0.3974185	0.055365823	0.098234944	0.0071834694	0.25603047
a	0.09137306	0.003174472	0.0004106166	0.036056638	0.21725929	0.17384024	0.011295297	0.17918193	0.28740844
ì	0.023103725	0.0021353448	0.022009682	0.029845783	0.34450692	0.27560213	0.1871294	0.0026983558	0.11296865
s	0.0024805532	0.0012632315	0.0018137917	0.009501266	0.32423833	0.46239957	0.17270584	0.016823988	0.008773358
t	0.000820598	0.0003107176	0.00015852203	0.02410691	0.6440985	0.30638388	0.002417879	0.021567283	0.00013569443
i	0.0050040125	0.0057321494	0.002898634	0.018197399	0.7364635	0.19846918	0.0029322582	0.030118356	0.00018456212
g	0.00524501	0.001067665	0.0024068118	0.000800543	0.025153667	0.37585616	0.5062836	0.013355292	0.06983127
g	0.012695197	0.0017348819	0.001384673	0.0043168524	0.104764506	0.67140526	0.008344939	0.19122909	0.0041244878
h	0.021106694	0.0032226648	0.030897155	0.085207336	0.2790977	0.43841115	0.010347317	0.097397014	0.03431297
e	0.015377445	0.0011017184	0.032232832	0.0026430613	0.085585475	0.76461256	0.076018	0.022252893	0.00017599165
c	0.010274551	0.0034979177	0.009663371	0.0016179003	0.013139852	0.213083	0.56952083	0.11979164	0.059411
è	0.0064957496	0.0021583452	0.0028372942	0.0014942304	0.045006376	0.535277	0.012431565	0.39008337	0.0042160833
p	0.0020749748	0.001825627	0.005527868	0.0014200091	0.028450835	0.4985702	0.16572198	0.26985392	0.026554625
l	0.00023227514	0.00011754854	7.0105205e-05	0.00037220007	0.008215255	0.30934465	0.0073873224	0.6698066	0.004454019
o	0.037509285	0.028691534	0.13723923	0.012254254	0.03587641	0.34316504	0.07167023	0.32618496	0.007409071
n	0.018851006	0.0033534814	0.011601491	0.00046545733	0.00060192734	0.01622299	0.33886632	0.22501652	0.38502085
n	0.00767954	0.0014157505	0.0007086135	0.00013212496	0.0022626715	0.06799943	0.007536698	0.9064481	0.005817051
e	0.016194215	0.008092664	0.0813197	0.00681883	0.040672336	0.28824493	0.20034657	0.35587323	0.0024375198
</S>	0.029601395	0.0059162066	0.035302244	0.0018299373	0.00071032124	0.0036235107	0.13472787	0.221015	0.5672735
