 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
e	0.8842938	0.079642475	0.035834994	0.00012161277	4.1574905e-05	2.5467438e-05	3.2340656e-06	1.4644607e-05	9.609216e-06	1.2732341e-05
v	0.8961741	0.07228927	0.029806532	0.00064435607	0.00040800398	0.0002307201	0.00038045048	1.8072344e-05	2.0899626e-05	2.7615779e-05
ò	0.60159755	0.026904006	0.36872196	0.00075155636	0.0016779879	0.000338911	2.6308342e-06	2.5821055e-06	3.8425753e-07	2.3376306e-06
e	0.07157941	0.63986665	0.28037807	0.0059142048	0.0011987258	0.00040954092	0.0006331038	9.852646e-06	5.5980436e-06	4.838308e-06
n	0.028946636	0.5044979	0.41636097	0.029948054	0.012601635	0.0054559167	0.0020538257	3.7473652e-05	6.9480615e-05	2.8101555e-05
ì	0.28255594	0.013742603	0.5797439	0.0354149	0.049785126	0.036625534	0.001747064	0.00023925703	4.6661047e-05	9.9001365e-05
m	0.0021301971	0.04548084	0.8978375	0.04647781	0.006045919	0.00085459265	0.0008840303	0.00012602628	6.410573e-05	9.897427e-05
e	0.0014542858	0.0050339843	0.86704165	0.04704119	0.040789336	0.03845209	0.00015611199	2.1752057e-05	4.033323e-06	5.5660867e-06
a	0.0004469236	0.05711627	0.6200599	0.24495146	0.064252906	0.0056741876	0.0015005678	0.0015121768	0.0014799088	0.0030056897
n	0.0061198105	0.006014145	0.05614242	0.7029907	0.11227789	0.036242258	0.06878547	0.0054433416	0.0026864978	0.0032974223
k	0.0038823243	0.031652782	0.18181808	0.34198293	0.30126494	0.13140666	0.0026371584	0.00058483507	0.0005424668	0.0042277183
ò	0.0038710916	0.038929403	0.101365365	0.21846718	0.589398	0.045705028	0.0009243087	0.00093118916	0.0002769925	0.00013142363
r	0.0024962868	0.0015598111	0.004820556	0.53847957	0.3433887	0.074930035	0.025994975	0.0067801257	0.0007760579	0.00077386317
a	0.00014732055	0.011658829	0.06691869	0.18050669	0.47764355	0.2525707	0.0095475055	0.00090039143	4.867447e-05	5.773295e-05
p	0.0009603518	0.0017913129	0.0023512954	0.23421884	0.5330424	0.13280365	0.03216203	0.04006531	0.011258925	0.0113459425
r	0.0019792744	0.0497712	0.026214465	0.0630731	0.46997842	0.35228807	0.032831125	0.0015869789	0.000882564	0.0013948298
ò	0.0006976198	0.017397687	0.012007032	0.024165113	0.8196092	0.10594253	0.004664309	0.012256349	0.0016303179	0.001629822
n	0.002677195	0.0006366031	0.0010323072	0.04185442	0.3125059	0.37603584	0.15090476	0.10065287	0.0074507883	0.0062493193
t	0.00022803024	0.009885101	0.00894247	0.0145387165	0.3113928	0.6300448	0.020430315	0.0032407562	0.00081549474	0.00048162235
a	0.005525767	0.0033046198	0.007933929	0.009877234	0.75983685	0.21224794	0.0011125763	0.00014413187	1.0019678e-05	6.8730524e-06
n	0.00090435747	0.00091078616	0.0012862143	0.017103417	0.056745112	0.4840151	0.13549551	0.24080908	0.036510002	0.026220439
g	0.0013824314	0.020711312	0.006668453	0.01458945	0.15468971	0.5877149	0.1999257	0.01128846	0.0014143053	0.0016152451
h	0.015935898	0.016614757	0.09044694	0.07714056	0.22694923	0.5590233	0.0033744476	0.0010328955	0.0016587332	0.007823194
ì	0.0023543066	0.0020770682	0.005716463	0.019773815	0.24261375	0.6771961	0.0066087325	0.041963734	0.0014955075	0.00020060924
z	0.01209242	0.0009890283	0.0014571393	0.009077388	0.005730942	0.24289899	0.31752706	0.35855368	0.029506987	0.022166435
i	0.00052969943	0.0054550064	0.004800527	0.010094241	0.069269374	0.7734292	0.109489284	0.025450163	0.0009693826	0.0005130658
n	0.003082088	0.0013812018	0.0020827162	0.0060045007	0.0020529036	0.07692922	0.09693204	0.6062157	0.13027978	0.07503991
a	0.010244203	0.022301633	0.01581636	0.04369865	0.030351581	0.32958484	0.40021023	0.12505594	0.008745284	0.013991253
r	0.016997928	0.0028124137	0.0024623007	0.009830317	0.0028762114	0.061984107	0.33165103	0.4319194	0.097691454	0.041774843
t	0.0030606554	0.0015993967	0.0020473616	0.0042852275	0.0027496163	0.049705878	0.1187772	0.7047071	0.0366252	0.07644232
i	0.0028469139	0.0035538843	0.005727302	0.04628077	0.006021884	0.084611975	0.014619153	0.69399697	0.11551338	0.026827727
s	0.033299673	0.0016423413	0.003135568	0.005178567	0.00075980497	0.0059686056	0.04579109	0.39291424	0.23067395	0.28063613
t	0.008613505	0.0026670163	0.0038981156	0.003852391	0.001009529	0.021278987	0.060538292	0.78874576	0.02024904	0.08914723
e	0.0036234392	0.0012061625	0.0058665187	0.0077276337	0.0018214254	0.020648729	0.004736186	0.851869	0.07157631	0.03092465
s	0.09705644	0.0025221016	0.0051000263	0.0048989207	0.000944737	0.0016258975	0.015168953	0.06674139	0.20571436	0.6002272
e	0.014935189	0.0033361178	0.012084934	0.001828305	0.00049897825	0.008088168	0.017640078	0.6837382	0.027993837	0.22985621
t	0.10590535	0.004013396	0.006324106	0.008234601	0.0014830842	0.0015522451	0.012114143	0.026116375	0.27251768	0.561739
t	0.024024708	0.0056682983	0.016266368	0.0019847546	0.00053503126	0.0067375777	0.026334984	0.4748007	0.045896564	0.3977509
ò	0.012175461	0.0021856234	0.01569756	0.008585328	0.0028082929	0.009678913	0.005743381	0.5436498	0.20273176	0.19674392
</S>	0.055084772	0.0016701572	0.0050626174	0.0024376824	0.0007085899	0.00038492863	0.0012823144	0.004233579	0.11324209	0.81589323
