 	la	pasta	vuole	sale	</S>
i	0.9914675	0.008425966	9.005108e-05	3.988182e-06	1.2554585e-05
p	0.67953235	0.31801832	0.002061454	0.00023366098	0.00015421066
à	0.74883175	0.033919044	0.06380269	0.15324917	0.00019734657
s	0.20524284	0.7895618	0.004219679	0.0009445379	3.1184125e-05
t	0.016988983	0.3497146	0.37890816	0.2542963	9.1922404e-05
a	0.0067238216	0.96215796	0.022743836	0.008374062	2.7528216e-07
ì	0.030214902	0.20773251	0.576645	0.016605467	0.1688021
t	0.0046153683	0.680084	0.28320983	0.0152998315	0.01679101
e	0.00013592975	0.034026507	0.8236635	0.1409239	0.0012501321
l	0.021632515	0.015682774	0.6589188	0.22020362	0.08356229
e	0.00077520864	0.02530123	0.8545026	0.117592596	0.0018283456
à	0.015787777	0.0010937232	0.20220578	0.6208514	0.16006134
l	0.0075756502	0.002720894	0.029911181	0.9170805	0.0427118
a	0.0013678344	0.0027726095	0.2889795	0.70449144	0.0023886485
</S>	0.026649917	0.0001508602	0.00715807	0.24118143	0.7248597
