 	l'	ho	sentito	che	viene	</S>
o	0.87261385	0.061322346	0.063431144	0.002090675	5.6993154e-05	0.00048498958
n	0.12475584	0.18635814	0.68143207	0.003552571	0.0017974251	0.0021039536
ì	0.027977094	0.016259009	0.06740464	0.0021923543	0.88080275	0.005364171
k	0.027174883	0.23737127	0.65196896	0.033608783	0.049824324	5.1860454e-05
u	0.6191297	0.022044789	0.28161198	0.03143783	0.045190267	0.00058539887
s	0.0021985227	0.042046957	0.8512737	0.037787896	0.06587294	0.00081997574
a	0.02847325	0.0010984131	0.006077754	0.0032066847	0.9554449	0.0056989896
n	0.0012130075	0.0444663	0.055840854	0.34255606	0.11649535	0.43942848
a	0.030680697	0.017960362	0.001106852	0.025261916	0.9103219	0.014668302
r	0.00032626698	0.0028004607	0.0018644498	0.07854884	0.79857326	0.11788672
t	0.00089050387	0.011400053	0.0024953862	0.04866897	0.10298751	0.83355755
i	0.0010554751	0.05590835	0.010532058	0.45406184	0.34928796	0.12915431
</S>	0.0002669976	0.0040916856	0.0015932454	0.013210397	0.42422912	0.55660856
