 	stava	ancora	cucinando	</S>
ì	0.999553	0.0001839564	8.7050075e-06	0.00025429332
s	0.99964786	0.00033668478	2.560985e-06	1.2950987e-05
t	0.7182646	0.082715474	0.19823459	0.0007853519
i	0.9982496	0.0013538522	0.00039635567	9.855291e-08
g	0.28387982	0.5476262	0.006949171	0.16154477
g	0.8910795	0.09122408	0.017637014	5.9342157e-05
h	0.92883253	0.05913556	0.011986697	4.5152643e-05
e	0.74888617	0.22124295	0.029780552	9.030646e-05
a	0.051629823	0.6301475	0.19991301	0.11830964
n	0.0077655143	0.12387591	0.84355664	0.02480196
k	0.026758503	0.032201856	0.8785659	0.062473707
ò	0.05927222	0.10477659	0.83300304	0.0029481826
r	0.0042116744	0.039098334	0.9232691	0.033420797
a	0.0007819617	0.003265196	0.99218607	0.003766752
m	0.0007310913	0.003028206	0.3436656	0.6525751
a	0.001748711	0.008655311	0.9247603	0.06483564
r	0.00067691086	0.0028445167	0.8276118	0.16886674
è	0.0048029823	0.0020708418	0.63483834	0.35828778
o	0.0018703432	0.0022866314	0.6250275	0.37081552
n	0.05187006	0.00071381684	0.16303024	0.78438586
t	0.619486	0.039593372	0.10836553	0.23255517
a	0.024748452	0.07578604	0.8316981	0.06776741
</S>	0.020982902	0.0068932343	0.020511802	0.95161206
