 	è	pericoloso	di	nuotare	nella	notte	</S>
è	0.67933875	0.3166476	0.0037309616	8.204257e-05	0.00016231312	2.2403397e-06	3.61036e-05
p	0.014554075	0.9800331	0.0052091074	0.00013733348	5.245098e-05	4.3783975e-06	9.605693e-06
e	0.053346746	0.9303181	0.012226282	0.002914324	0.00018967123	0.0008886639	0.00011625483
r	0.0904014	0.8049732	0.098686464	0.00553743	0.0003525922	2.7080527e-05	2.1942948e-05
i	0.1999741	0.78976876	0.009266597	0.00087400543	7.804157e-05	3.1745058e-05	6.7338915e-06
k	0.0044547464	0.039316807	0.91254526	0.031829536	0.0064717354	0.0001538004	0.0052280095
u	0.38132605	0.45064175	0.13034971	0.03403855	0.0016181506	0.00065607956	0.0013697299
l	0.00080053724	0.03915904	0.8756523	0.07246367	0.010209012	0.00020687636	0.0015085401
ò	0.56105787	0.04775043	0.2357428	0.13615957	0.009102447	0.0040480983	0.0061388635
s	0.00027911583	0.017463557	0.78105927	0.16977458	0.027490938	0.00080229004	0.0031301316
o	0.06774908	0.003881932	0.26168656	0.65765786	0.0021387094	0.00681909	6.6786655e-05
n	0.00023391795	0.004056849	0.38347402	0.4716467	0.122342765	0.002734185	0.015511565
a	0.20801309	0.0039016572	0.10798721	0.6673768	0.0057604383	0.0054271217	0.0015337417
n	0.00023763887	0.0020478847	0.03153138	0.6989017	0.24634486	0.013258162	0.007678356
a	0.13071948	0.0023682397	0.07231375	0.6631801	0.06495399	0.026938945	0.039525606
t	0.0008855309	0.005800034	0.005975285	0.60359323	0.28973952	0.08323301	0.010773458
è	0.052033097	0.0022474907	0.034919973	0.38260612	0.27276972	0.13567501	0.1197486
t	0.0005060729	0.009566482	0.0035406116	0.15155719	0.62051344	0.191027	0.023289196
s	0.005419405	0.0014119174	0.015649045	0.2410002	0.16424492	0.57109034	0.0011841974
i	0.42257053	0.030316317	0.02254902	0.29768163	0.0662179	0.14799052	0.012674093
a	0.00049352774	0.0072462116	0.0020418256	0.009950143	0.33866528	0.28194237	0.35966066
t	0.0086584715	0.09745721	0.0005896467	0.006475209	0.087219596	0.59579563	0.20380433
s	0.055500805	0.03282388	0.02114707	0.03504409	0.31900933	0.30816448	0.2283103
è	0.019840406	0.0146349305	0.0028851149	0.023063678	0.20350654	0.60693896	0.12913041
n	0.0031657051	0.045330666	0.0013332253	0.0017592048	0.017194951	0.38381132	0.5474049
ì	0.006262465	0.008256338	0.0074881376	0.04354236	0.002980418	0.8697923	0.061678033
t	0.0018062996	0.009545156	0.0024322441	0.0021172068	0.0035907896	0.40639657	0.57411176
t	0.020181417	0.0053847525	0.0032711346	0.020053813	0.008294958	0.93012863	0.012685265
a	0.047652464	0.013911971	0.0027422216	0.008986886	0.00061860215	0.3080193	0.6180685
</S>	0.0016139093	0.02784137	0.0008704494	0.000590467	0.0011583739	0.033413675	0.9345117
