 	non	deve	magniare	la	sera	</S>
e	0.9225483	0.065162025	0.010768528	0.00084988435	0.000110459005	0.00056074717
n	0.64065284	0.32016012	0.0308613	0.0021479132	0.003021343	0.003156632
è	0.01886274	0.34121907	0.40170708	0.0010833571	0.23682395	0.0003038388
n	0.03496289	0.8755156	0.08544532	0.0019444446	0.0021273647	4.5375227e-06
a	0.015349948	0.024299782	0.032439608	0.0006547636	0.92661196	0.0006438939
f	0.022139143	0.64136577	0.23375514	0.040540513	0.06055906	0.0016404507
à	0.026358014	0.074872375	0.87641674	0.01628011	0.0058183507	0.00025440668
i	0.0017207033	0.04452263	0.6362943	0.2551621	0.047084108	0.01521614
t	0.0056893914	0.021521734	0.13168311	0.49072126	0.22862495	0.12175953
o	0.018688165	0.013616934	0.27543014	0.64969534	0.03917002	0.0033994135
v	0.00046475342	0.0056034285	0.022943292	0.59225416	0.33295655	0.0457778
r	0.35453606	0.092196815	0.08203644	0.15708578	0.27997953	0.034165353
à	0.0031083326	0.022291362	0.021220945	0.5704567	0.085627966	0.2972947
i	0.0007948943	0.0012321941	0.0014692509	0.06982836	0.812921	0.1137544
</S>	0.010595071	0.002154039	0.004697479	0.05255715	0.730562	0.19943424
