 	pure	che	ti	vedo	una	volta	non	ti	dimentico	mai	</S>
p	0.9978403	0.0019771224	0.00014637175	1.3957841e-05	1.0951477e-05	9.212618e-06	1.8569048e-07	3.68118e-07	1.2302847e-06	3.4844785e-08	3.329099e-07
ù	0.9803022	0.012525779	0.0027548869	0.00031533165	0.00042978046	0.003602446	4.6110067e-06	4.6183654e-06	5.9764123e-05	5.255314e-08	5.173318e-07
r	0.8574197	0.13555965	0.0060968194	0.00069140753	0.0001512158	6.6851986e-05	7.822228e-06	2.4972462e-06	2.8670058e-06	2.2780995e-07	9.4712306e-07
u	0.8607133	0.10450802	0.027205382	0.0011586476	0.0031622783	0.0030664369	3.8754097e-06	4.7276917e-06	0.00017734511	4.9451276e-10	3.4727517e-08
k	0.018597167	0.91213554	0.059834544	0.0069748657	0.0013209753	0.00066949317	0.00020030147	7.0826936e-05	5.086923e-05	1.0432636e-05	0.00013496749
a	0.19913605	0.1671693	0.27814814	0.008118312	0.06949997	0.26901335	8.5678425e-05	5.777737e-05	0.008766363	1.9422181e-07	4.7964786e-06
s	0.002364504	0.636151	0.3151381	0.037230797	0.006049569	0.0022818635	0.00029378568	0.00013648576	4.4282096e-05	1.4983961e-05	0.0002945819
e	0.013935161	0.2883185	0.5512249	0.050198477	0.05818984	0.033307567	0.00029014147	0.00015639492	0.004219014	1.2279137e-06	0.00015872557
t	0.00086657965	0.107315846	0.6614396	0.18899465	0.033306193	0.0064088013	0.00068449	0.00056920364	7.515813e-05	1.80105e-05	0.00032148784
o	0.0052858875	0.100684986	0.5606885	0.16291457	0.12393521	0.035859123	0.0010813073	0.00074744195	0.008162556	2.6475234e-06	0.00063772104
r	0.00068763015	0.022520524	0.49586895	0.360856	0.101639986	0.01489987	0.0014813478	0.0014315112	0.00012947577	3.5470883e-05	0.00044927423
ò	0.004567833	0.051650897	0.2425649	0.45551893	0.19576441	0.023278853	0.0069048824	0.0075996714	0.01012606	4.5554902e-06	0.0020189658
m	0.00033841992	0.0049622264	0.123817034	0.49100286	0.3203102	0.045169245	0.00577042	0.0070224497	0.00044217127	0.00013745885	0.0010275806
ì	0.00024843428	0.0035705296	0.09003854	0.14646922	0.56103927	0.15538172	0.009113603	0.013119615	0.02101547	2.9754155e-08	3.5681023e-06
a	0.0007689048	0.0030081286	0.02671235	0.21688324	0.56876373	0.12357288	0.02650604	0.020640738	0.001126259	0.0016415071	0.010376252
f	0.0052312473	0.00052548206	0.0016394829	0.015724704	0.27155107	0.48725027	0.15212558	0.049680475	0.0117258355	0.0006466178	0.0038991582
o	0.0016130682	0.00949457	0.01810509	0.052809093	0.39596286	0.2517108	0.030339539	0.036494058	0.20294237	1.6548356e-06	0.0005268944
r	0.0019464737	0.0017287688	0.0020726884	0.0110582495	0.21822375	0.33318713	0.29016215	0.12118995	0.017551024	0.0007377867	0.002141983
à	0.0018917369	0.00894926	0.0063733757	0.024799315	0.14225775	0.23150234	0.119494	0.28261086	0.16895789	0.00013886469	0.013024502
e	0.0013686077	0.001451327	0.001391484	0.003217316	0.038520448	0.17247535	0.2953309	0.33348083	0.13466993	0.006721435	0.011372317
n	0.0061084055	0.0003355363	0.00017104411	0.00019494741	0.0055577736	0.42893878	0.34800646	0.102481104	0.10090317	0.001728759	0.0055740857
s	0.0036591552	0.00094431214	0.0018091912	0.0013194142	0.008130615	0.0149451075	0.029612945	0.2984377	0.63557786	4.6822708e-05	0.0055168425
e	0.021864906	0.016989466	0.010438711	0.0069735404	0.05177358	0.028568469	0.010445114	0.8100218	0.042399425	3.6549976e-05	0.0004884264
s	0.0030312308	0.0021434433	0.001997245	0.0018009668	0.0010961955	0.001280773	0.06649701	0.5091914	0.3202299	0.046556775	0.04617509
c	0.0015555262	0.00021582421	0.00028511643	0.00035102095	0.001701862	0.0031499197	0.0037450748	0.16446735	0.8228533	2.9339903e-05	0.0016456468
e	0.01631188	0.0066622603	0.026952036	0.038260806	0.20245285	0.07481803	0.0006373493	0.005165305	0.61117864	0.005291714	0.0122691365
r	0.003457397	0.0011082081	0.00077512773	0.000544386	0.0011070255	0.007270933	0.21545905	0.64306784	0.093851455	0.023318676	0.010039946
r	0.0014873648	0.0020984209	0.0008894769	0.0008868338	0.0011751637	0.0013814555	0.0040739244	0.23173562	0.5417213	0.03285176	0.18169867
è	0.011920185	0.0055113514	0.0059981514	0.005690388	0.02823231	0.0051080696	0.004869628	0.108920254	0.776638	0.004098867	0.043012813
o	0.0017443309	0.0011654346	0.0009380342	0.00084771524	0.00043857595	0.00021056413	0.0052733817	0.10500784	0.65218353	0.18084589	0.0513447
m	0.014536504	0.0032608863	0.0010423273	0.00058639026	0.00015157134	0.0001813075	0.004955155	0.052596692	0.6982253	0.13679159	0.087672226
à	0.005900954	0.0006081646	0.0004368918	0.0002587823	0.00032622862	0.00021382318	0.0003237529	0.032024622	0.9461077	0.0006501811	0.013148921
i	0.00091139216	0.0005998049	0.0005760612	0.00076886907	0.00028457303	4.8650498e-05	0.0013288218	0.012241026	0.3678738	0.5503442	0.06502278
</S>	0.020392347	0.002790588	0.0007047386	0.0005753247	7.068575e-05	2.9512157e-05	0.0007558968	0.0033743132	0.3136198	0.4426153	0.21507145
