 	viene	fabbricato	</S>
è	0.94886637	0.03727482	0.013858755
r	0.7722151	0.22216812	0.005616755
k	0.037070543	0.9282718	0.0346577
e	0.018614423	0.9813276	5.796921e-05
t	0.011582929	0.7937508	0.19466625
e	0.010252666	0.98843575	0.0013115817
f	0.0008717176	0.918661	0.08046727
a	0.0040148357	0.9843054	0.011679795
b	0.0016524395	0.7315815	0.26676598
b	0.0037406047	0.930302	0.065957375
r	0.011393108	0.947557	0.04104988
i	0.035881378	0.9540754	0.010043273
k	0.0003874907	0.0075232782	0.9920893
à	0.011650391	0.7823333	0.20601624
t	0.0005468442	0.030644406	0.96880877
o	0.5045037	0.30508012	0.19041614
</S>	0.0023535094	0.007799177	0.98984736
