 	questa	canzone	venne	scritta	molti	anni	fa	da	un	nostro	poeta	</S>
t	0.97149235	0.028167954	0.0002951928	3.659207e-05	2.101393e-06	1.1145577e-06	8.8740535e-07	1.0234235e-06	4.5692957e-07	1.2452099e-06	4.0931099e-07	7.143938e-07
ù	0.9632784	0.029191505	0.007462513	4.3194736e-06	5.560945e-05	5.2455985e-06	1.820605e-07	3.6282856e-07	6.518538e-07	2.1249942e-07	6.897593e-07	3.1314073e-07
s	0.77159005	0.22120497	0.006818979	0.00027884878	8.331459e-05	1.5887877e-05	1.4357956e-06	1.3265775e-06	1.2291732e-06	9.949725e-07	5.615524e-07	2.4935866e-06
o	0.6961544	0.2799274	0.022574922	0.00013619932	0.0010728589	0.00013078612	4.1168792e-07	9.631403e-07	1.4686585e-06	1.2113487e-07	3.8582257e-07	2.7917139e-08
t	0.0689964	0.89468855	0.033439226	0.0016956286	0.00092232553	0.00015001255	1.241893e-05	9.9595145e-06	2.4532237e-05	9.771352e-06	4.939523e-06	4.612837e-05
r	0.24801314	0.6270599	0.12094685	0.00068874867	0.0030772693	0.00018319284	2.486504e-06	4.8249926e-06	5.2862856e-06	1.4397481e-06	6.4133624e-06	1.0456979e-05
a	0.031442188	0.9056715	0.062400565	0.0004251037	5.282991e-05	6.4410597e-06	2.565508e-07	1.4043754e-07	5.0044025e-07	8.014997e-08	2.7557581e-07	7.8170785e-08
v	0.00021918131	0.5335005	0.3493428	0.11345178	0.0023988744	0.0006514275	7.168538e-05	5.940094e-05	2.6350184e-05	4.9994662e-05	6.295287e-06	0.00022165469
ù	0.11534144	0.49471813	0.34668118	0.026920274	0.015361847	0.0008029715	1.8591018e-05	2.4273193e-05	1.6475991e-05	1.509909e-05	1.7538901e-05	8.212384e-05
d	0.00015098801	0.18181282	0.7755346	0.039104532	0.0029677777	0.00024504782	7.102059e-05	5.3700238e-05	3.0033436e-05	1.7003915e-05	2.0951156e-06	1.04518485e-05
i	0.048600767	0.34618273	0.51748496	0.028282106	0.047025427	0.011568463	0.00017839529	0.000187104	0.00025512563	8.475982e-05	0.00011778593	3.235831e-05
ì	0.00010961791	0.015520476	0.4794975	0.4886262	0.01236127	0.0024427988	0.0004831645	0.0003053337	0.00022359526	0.00014313638	1.6588257e-05	0.0002702693
r	0.00012307179	0.004764765	0.9330889	0.02694269	0.031569283	0.0020304378	0.00056805013	0.00038397175	0.00036461544	0.00013004415	1.7229373e-05	1.6935861e-05
t	0.0016242655	0.030668782	0.09852561	0.78288186	0.06218082	0.02268264	0.00039319054	0.000583379	0.00036955543	2.5165178e-05	5.212735e-05	1.2604344e-05
e	0.01612739	0.22421843	0.72323155	0.016093299	0.019220807	0.0010963781	2.3861346e-06	1.6171886e-06	6.771106e-06	4.539275e-07	5.8906454e-07	3.0860463e-07
g	1.5088986e-05	0.0001373642	0.012747828	0.9583305	0.018568723	0.006718434	0.0013883404	0.00094943005	0.00018200905	0.00039722258	2.1514008e-05	0.00054345955
r	0.01307493	0.030592626	0.034165647	0.59823895	0.23548526	0.085230514	0.0008715904	0.0009805636	0.00072213775	0.00020898049	0.00027305627	0.00015568452
a	0.00016023248	0.0044569043	0.023435112	0.9378135	0.022697913	0.008247972	0.0016129181	0.00083275296	0.00018368798	0.00028353566	0.00012331581	0.00015216801
m	4.379438e-05	0.00012492349	0.009495012	0.73993766	0.1712091	0.038526237	0.018422069	0.014420527	0.0027628809	0.003484574	0.00028918302	0.001284053
m	9.531465e-05	0.0004895616	0.0052022967	0.8355659	0.12562777	0.028971398	0.0014608892	0.0016364999	0.0005202309	0.00018798994	9.153191e-05	0.00015061414
è	0.0010749078	0.0031675792	0.010623898	0.79448915	0.12582237	0.062362753	0.0014295056	0.0006828536	0.00025667928	4.144601e-05	3.1083335e-05	1.7701666e-05
n	8.965252e-05	0.000112319765	0.009726912	0.6899032	0.19961333	0.07709344	0.008927883	0.0067734104	0.0006398515	0.0033770697	0.00011322954	0.0036297312
o	0.0008183758	0.005194334	0.006646021	0.29462868	0.3801117	0.30163	0.0037195175	0.0019255141	0.004691401	9.202726e-05	0.0005334799	9.003602e-06
p	0.00016693807	0.00029771976	0.001803221	0.1442055	0.40853602	0.27861968	0.08070483	0.056870215	0.011037096	0.011931511	0.00086800894	0.0049592904
o	0.0053595575	0.0043458934	0.0010203071	0.09218542	0.27238333	0.59876406	0.0120339375	0.0063643134	0.0040882193	0.0015458543	0.00071620103	0.0011929064
d	9.827031e-05	0.00014856031	0.0026069256	0.03480505	0.64586306	0.26311246	0.024162428	0.020964563	0.0043917987	0.003250246	0.00027464022	0.00032208397
d	0.0012013474	0.0009076483	0.00043247864	0.108078346	0.26583618	0.5867158	0.019200966	0.008050391	0.0071408646	0.0010511172	0.0006663833	0.00071850413
h	0.0036669713	0.0026655826	0.00656061	0.09060112	0.33965117	0.51521474	0.013489199	0.022960817	0.0015053607	0.0029798269	0.0003420866	0.000362606
ù	0.009493186	0.0025580626	0.0027508845	0.055054277	0.27042142	0.6482879	0.0042439415	0.004806173	0.0014959695	0.0005117865	0.00013170144	0.00024475507
c	0.00067453756	0.00044045525	0.00570851	0.011578362	0.2722547	0.4057684	0.13433668	0.11199438	0.02512994	0.0213261	0.0025334293	0.0082544405
h	0.00038431564	0.00074260565	0.0007693757	0.017032208	0.21664432	0.7419131	0.00631334	0.0030849534	0.009921079	0.00027567713	0.0028733737	4.578869e-05
