 	deve	che	entra	da	qui	</S>
è	0.95277745	0.042791225	0.0017870506	0.0022531666	5.1620176e-05	0.00033950186
n	0.6701407	0.29370928	0.03017492	0.005468136	0.00014317058	0.0003639225
g	0.6746346	0.07735295	0.08211574	0.0026885648	0.15799381	0.0052144025
h	0.09493631	0.3144712	0.57008934	0.011408557	0.008090835	0.0010037385
i	0.039316494	0.45884612	0.49413148	0.001669796	0.006024063	1.1854992e-05
s	0.0159965	0.4697313	0.29591835	0.20583604	0.0038083084	0.00870951
e	0.28962842	0.101352476	0.565275	0.0007637189	0.042833436	0.00014698404
n	0.0021590611	0.017961506	0.30692667	0.5990096	0.014284696	0.05965849
a	0.19826697	0.09296296	0.6584879	0.006419869	0.039505824	0.004356394
m	0.0061038677	0.0040185014	0.06815914	0.76545644	0.10895874	0.04730328
b	0.030598173	0.05616252	0.5757619	0.050460685	0.21778807	0.06922861
i	0.002556169	0.03586318	0.15601738	0.0782538	0.72538114	0.0019283359
a	0.0014351563	0.0018975147	0.009641438	0.44413233	0.03762401	0.5052695
p	0.09318874	0.003183955	0.0240933	0.07525948	0.75384164	0.050432876
ò	0.037953947	0.032379095	0.019769233	0.0008465113	0.6716232	0.2374281
t	0.018576548	0.0054425537	0.0008914285	0.0028885482	0.04977075	0.9224302
t	0.0020841456	0.005156343	0.0037373872	0.0086391	0.92890596	0.051476978
ù	0.051343188	0.0075140926	0.0070478893	0.00045330296	0.863759	0.06988246
</S>	0.002884111	0.0029726431	0.0010086602	0.0012574161	0.03562645	0.9562507
