 	il	medico	mi	ha	detto	di	non	mangiare	dolci	però	a	me	mi	piacciono	e	li	mangio	</S>
o	0.95508283	0.0388693	0.005330543	0.00043223271	0.00024032424	3.0423247e-05	2.7261015e-06	5.563125e-06	1.4786982e-06	7.2316453e-07	5.1486984e-07	3.3386038e-07	6.3983833e-07	3.41851e-07	4.7394278e-07	6.360978e-07	2.9563586e-07	6.8791434e-07
m	0.40383747	0.50033814	0.039437562	0.045038033	0.006918996	0.0011249264	0.0002206728	0.0007421703	0.0007781993	0.00016589911	4.9122158e-05	6.651421e-05	4.2389987e-05	0.00094449427	0.00013689007	4.225373e-05	6.640146e-05	4.9851056e-05
e	0.35059258	0.60395116	0.00023479693	0.04112413	0.0012121482	0.000113804344	1.4033106e-05	0.0017407464	0.0006071218	0.00037785483	2.5699771e-06	3.311786e-06	2.088086e-06	3.5215305e-06	3.2124901e-06	4.1251037e-06	2.3689652e-06	1.047198e-05
s	0.089046724	0.82654446	0.017224098	0.05459356	0.010354744	0.0013798764	0.00014837981	0.00033179214	0.0002526793	3.345183e-05	1.1330485e-06	2.0864609e-06	9.0977903e-07	7.173353e-05	1.0882209e-05	1.2895987e-06	9.73468e-07	1.2102164e-06
s	0.08297401	0.89184475	0.0001994406	0.021191059	0.0019491627	0.00022146618	6.277544e-05	0.0007461803	0.00040933327	0.00031789468	4.0193013e-06	5.10712e-06	3.1955014e-07	7.9354495e-06	6.659429e-06	4.551751e-06	4.1572735e-06	5.124384e-05
è	0.004647601	0.8941369	0.0012710979	0.088477105	0.0048776725	0.00057821634	7.62003e-05	0.005784747	0.00013669734	1.2315263e-05	1.6663931e-07	1.0547433e-07	1.801616e-08	1.8931915e-07	1.5329734e-07	1.3700019e-07	3.501139e-07	2.5485008e-07
r	0.00011888122	0.43463448	0.121204674	0.3254717	0.10449542	0.012598328	0.00066116743	0.00056612975	0.00012192205	4.776376e-05	4.937607e-06	1.9785655e-06	7.985795e-06	1.4064138e-05	7.027681e-06	6.2678355e-06	1.1043231e-06	3.6093334e-05
e	0.0075698434	0.6464724	0.0010938318	0.2410221	0.08850112	0.005448502	0.0006278766	0.00381712	0.0027753117	0.0026406262	1.7583551e-06	4.9695946e-06	5.4660585e-08	1.1200115e-05	9.563462e-06	2.504528e-06	6.5103643e-07	4.906063e-07
m	7.1635455e-05	0.020495635	0.34505397	0.24246812	0.32684386	0.05734004	0.0036560395	0.0025589368	0.0008034248	0.00022241357	1.9876252e-05	1.1125955e-05	2.9555318e-05	0.00019934826	4.9370916e-05	2.666988e-05	5.6619874e-06	0.00014428921
u	0.00754665	0.7927152	0.0015084348	0.112586334	0.060026947	0.0063481526	0.00097650004	0.007343568	0.0040630987	0.0067090504	1.6983606e-05	2.3378037e-05	4.5860847e-07	1.588448e-05	1.777695e-05	1.4637124e-05	8.703578e-06	7.8199126e-05
p	1.9103318e-05	0.0043452564	0.1807636	0.30450284	0.3801142	0.11728111	0.0067238617	0.0050308467	0.0005548204	0.00023463243	4.1847663e-05	1.0238207e-05	7.062558e-05	2.3695598e-05	2.9966104e-05	3.8082315e-05	4.766933e-06	0.0002103397
e	0.055930987	0.26210108	0.0012042371	0.108718775	0.43343383	0.08106241	0.005185424	0.017591793	0.007990293	0.025452415	0.00019075925	0.00022137168	3.7328691e-06	2.3228065e-05	7.194487e-05	0.00012966996	3.480062e-05	0.0006533308
n	9.6048985e-05	0.00047874686	0.037168898	0.06920438	0.46479493	0.33938482	0.022210857	0.04667957	0.018153273	0.0009853822	2.429219e-05	1.9239058e-05	3.106494e-05	0.00045528536	0.00023572412	4.749748e-05	3.7441089e-06	2.6223772e-05
a	0.0028029042	0.05221385	0.0012112265	0.04258696	0.6722081	0.13324428	0.010788669	0.033429135	0.015580619	0.034774143	5.9197584e-05	6.429282e-05	2.420963e-06	3.761292e-05	7.711034e-05	6.9574024e-05	9.582896e-06	0.00084035343
m	0.00014554747	0.00034361522	0.012914178	0.013857824	0.21325198	0.52001286	0.060805812	0.12269533	0.047317874	0.0029009741	0.00026932938	0.00014014675	0.00038377635	0.0026926335	0.0015858338	0.00051725615	2.7351341e-05	0.00013764304
i	0.0010609477	0.010335436	0.0015748021	0.019383278	0.52496636	0.22824201	0.012028415	0.10386363	0.043737646	0.053070057	0.00017053429	0.0002502025	1.1933909e-05	0.00016083835	0.00028451972	0.00014616955	8.594869e-06	0.00070458365
n	3.515095e-05	0.0002942286	0.0050769276	0.003210426	0.0856336	0.61632866	0.14509809	0.12062679	0.01535507	0.0051443004	0.00043536862	9.295436e-05	0.00071319606	0.00058740284	0.00060672616	0.0004018994	1.25116985e-05	0.00034659542
f	0.0032598178	0.027570263	0.00034795122	0.010705905	0.25501123	0.30913988	0.0414004	0.11268471	0.048679564	0.18853547	0.00040978988	0.00038886626	7.8703815e-06	7.413066e-05	0.00026619574	0.0003261074	1.756489e-05	0.0011743142
à	0.0003854779	0.0020340532	0.001359959	0.005038252	0.051362045	0.46157828	0.11147192	0.32575938	0.03089412	0.009306068	0.0002815903	8.432352e-05	1.0877296e-05	5.8051337e-05	0.0001363341	0.00012678902	1.0330148e-05	0.000102123944
o	0.0001072367	0.00044379398	0.0015286083	0.00093445834	0.009018871	0.18652888	0.14288186	0.41994262	0.18243404	0.02193693	0.003425475	0.0010583933	0.0047829254	0.012474877	0.007353063	0.004359771	0.00018097938	0.00060728734
g	0.0015190939	0.00069905206	0.00015680275	0.00090195035	0.003610011	0.019989671	0.07270779	0.20878673	0.4718492	0.15829472	0.00209892	0.0030082392	0.0015039612	0.023947896	0.02556631	0.0042399555	0.0003188138	0.0008008713
l	0.012786206	0.018909803	0.0061727148	0.024547128	0.12590416	0.19556955	0.014658423	0.3660205	0.07378412	0.15651181	0.001994402	0.0019183132	1.1943341e-05	0.00011195847	0.00037476383	0.00018596128	2.0717247e-05	0.0005174153
