 	si	è	rotta	la	coppa	</S>
e	0.68912405	0.2432705	0.063541956	0.0037412	0.000116887364	0.00020540605
g	0.4160183	0.25192845	0.32183063	0.00758881	0.00075316196	0.0018806269
l	0.107008554	0.027884437	0.68289787	0.15365356	0.0275071	0.0010484303
à	0.002933828	0.004578239	0.55234534	0.3970393	0.04306269	4.0536044e-05
s	0.0076234858	0.020216782	0.53365946	0.43151	0.0018039688	0.005186267
t	0.055809304	0.0040882253	0.19608656	0.7352745	0.008705077	3.6286565e-05
i	0.16386332	0.00095631543	0.024614759	0.76221	0.04804194	0.00031379305
e	0.0008758915	0.0046306625	0.03870601	0.8246457	0.012843678	0.11829799
c	0.07957047	0.011982663	0.016359204	0.49112	0.073234685	0.32773292
ò	0.0018150022	0.0017171529	0.0023482698	0.8841554	0.10958633	0.0003778823
p	0.014921842	0.0060577746	0.0068718093	0.70647246	0.1961614	0.06951472
p	0.009114293	0.005838026	0.001031947	0.26151583	0.71648675	0.0060132
a	0.049426943	0.0008463044	0.0034693598	0.052241515	0.8698155	0.024200307
</S>	0.0019943025	0.0063962233	0.0017921467	0.051299073	0.1937139	0.7448044
